,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,PM2,4G,1,1,448.0,666.0,776.0,830.0,2253.0,2383.0,2334.47,2442.6,70.71,71.94,69.23,69.96,7.93,8.09,7.89,7.95
1,PM2,4G,2,1,768.0,897.0,999.0,1040.0,3946.0,4594.0,4292.6,4148.8,1210.39,1211.78,1209.07,1209.84,150.41,150.57,150.37,150.43
2,PM2,4G,4,1,882.0,1194.0,34761.0,38535.0,3774.0,8313.0,6142.14,6179.0,3692.46,3693.55,3691.3,3691.87,460.81,460.94,460.77,460.82
3,PM2,4G,8,1,1250.0,26817.0,29256.0,30619.0,3747.0,13846.0,5377.23,5650.2,6052.98,6053.02,6051.94,6052.07,756.08,756.09,756.05,756.06
4,PM2,4G,16,1,26870.0,30068.0,33135.0,50096.0,4026.0,17487.0,5250.29,5498.2,7522.51,7522.09,7522.16,7522.04,939.92,939.92,939.95,939.94
5,PM2,4G,32,1,37696.0,42206.0,45246.0,63229.0,3877.0,17724.0,5071.84,5282.0,8549.21,8549.16,8548.91,8548.58,1068.31,1068.32,1068.31,1068.24
6,PM2,8G,1,1,712.0,871.0,1092.0,1204.0,1392.0,2396.0,2183.26,2284.0,898.76,899.59,897.63,898.09,111.68,111.79,111.65,111.69
7,PM2,8G,2,1,759.0,927.0,1139.0,1224.0,2868.0,4600.0,3857.89,4009.0,2641.27,2642.06,2640.37,2640.78,329.6,329.7,329.57,329.6
8,PM2,8G,4,1,1003.0,12306.0,20395.0,21129.0,3285.0,8260.0,4827.28,4929.8,5387.7,5388.41,5386.96,5387.28,673.01,673.1,672.99,673.02
9,PM2,8G,8,1,1404.0,21522.0,22780.0,24038.0,3912.0,14309.0,4954.93,5239.8,7251.65,7251.74,7251.4,7251.55,906.15,906.17,906.17,906.2
10,PM2,8G,16,1,27552.0,30173.0,32768.0,37382.0,3733.0,17572.0,4894.5,5148.8,8379.1,8379.26,8379.1,8378.87,1047.14,1047.16,1047.15,1047.14
11,PM2,8G,32,1,38430.0,42206.0,44407.0,49860.0,3771.0,17783.0,4927.2,5157.0,9100.34,9100.33,9099.98,9100.03,1137.25,1137.26,1137.23,1137.24
12,PM2,16G,1,1,650.0,746.0,904.0,973.0,1672.0,2395.0,2145.39,2251.4,2275.5,2276.09,2274.96,2275.12,284.01,284.09,284.0,284.02
13,PM2,16G,2,1,789.0,1040.0,1368.0,1502.0,2806.0,4580.0,3731.95,3842.0,4518.66,4519.21,4518.14,4518.43,564.46,564.53,564.45,564.47
14,PM2,16G,4,1,1175.0,15112.0,19150.0,20198.0,3105.0,8285.0,4372.25,4514.6,6436.1,6436.42,6435.69,6435.87,804.26,804.31,804.25,804.27
15,PM2,16G,8,1,9885.0,22833.0,24982.0,27132.0,3269.0,14444.0,4399.46,4629.2,7696.18,7696.5,7696.34,7696.23,961.83,961.88,961.88,961.86
16,PM2,16G,16,1,27866.0,30120.0,32558.0,36229.0,3670.0,17529.0,4718.41,4961.6,8730.75,8730.97,8730.85,8730.66,1091.15,1091.18,1091.18,1091.17
17,PM2,16G,32,1,39060.0,42310.0,44617.0,63649.0,3715.0,17777.0,4770.14,5011.0,9156.96,9157.0,9156.86,9156.97,1144.36,1144.36,1144.35,1144.36
18,PM2,32G,1,1,720.0,822.0,1157.0,1286.0,1442.0,2409.0,2069.84,2174.2,2911.3,2911.72,2910.98,2911.03,363.65,363.7,363.65,363.66
19,PM2,32G,2,1,843.0,1257.0,1551.0,1676.0,2112.0,4594.0,3551.47,3631.8,5701.44,5701.68,5701.73,5701.32,712.46,712.49,712.45,712.47
20,PM2,32G,4,1,1293.0,15401.0,17485.0,19123.0,2764.0,8254.0,3843.48,4016.0,6731.97,6731.7,6731.21,6731.65,841.3,841.32,841.29,841.3
21,PM2,32G,8,1,4555.0,25035.0,26608.0,28285.0,3205.0,14082.0,4219.1,4437.0,7858.64,7858.98,7858.54,7858.41,982.17,982.21,982.18,982.17
22,PM2,32G,16,1,27919.0,30120.0,32322.0,36779.0,3546.0,17579.0,4632.84,4865.4,8933.61,8933.46,8933.37,8933.56,1116.51,1116.5,1116.5,1116.53
23,PM2,32G,32,1,39479.0,42625.0,44827.0,52376.0,2893.0,42970.0,4784.82,4786.0,8961.53,8961.64,8961.59,8961.58,1119.94,1119.94,1119.94,1119.94
