,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,PM2,4G,1,1,319.0,347.0,393.0,536.0,3438.0,3600.0,3519.4,3678.4,1883.04,1884.32,1881.35,1882.1,234.37,234.55,234.32,234.39
1,PM2,4G,2,1,345.0,381.0,431.0,650.0,6487.0,6817.0,6652.3,6944.8,3517.54,3519.15,3516.16,3516.88,438.75,438.93,438.71,438.78
2,PM2,4G,4,1,501.0,553.0,617.0,914.0,9416.0,9656.0,9552.07,5943.44,6626.85,6628.23,6625.69,6626.33,827.47,827.63,827.43,827.48
3,PM2,4G,8,1,1329.0,1414.0,1516.0,1607.0,9287.0,9943.0,9595.47,2002.24,9415.3,9415.09,9413.11,9415.05,1176.26,1176.21,1176.09,1176.32
4,PM2,4G,16,1,2985.0,3215.0,3588.0,3988.0,9015.0,10341.0,9618.8,2007.44,13143.39,13142.1,13144.61,13146.95,1642.43,1642.26,1642.64,1642.93
5,PM2,4G,32,1,8461.0,13094.0,17302.0,20356.0,5858.0,16161.0,9990.84,5995.4,15444.38,15441.0,15439.76,15443.71,1930.24,1929.8,1929.7,1930.2
6,PM2,8G,1,1,319.0,351.0,394.0,596.0,3379.0,3618.0,3510.65,3682.6,2791.98,2793.0,2790.75,2791.29,348.24,348.38,348.21,348.25
7,PM2,8G,2,1,345.0,381.0,432.0,539.0,6377.0,6950.0,6649.45,6994.8,5522.69,5523.78,5521.43,5521.96,689.57,689.71,689.54,689.59
8,PM2,8G,4,1,531.0,587.0,655.0,720.0,9060.0,9638.0,9329.7,9795.0,9414.57,9415.59,9414.03,9414.64,1176.18,1176.3,1176.21,1176.25
9,PM2,8G,8,1,1345.0,1430.0,1532.0,1617.0,9146.0,9898.0,9539.44,5970.0,13144.04,13142.39,13143.66,13146.02,1642.52,1642.33,1642.57,1642.86
10,PM2,8G,16,1,3097.0,3326.0,3693.0,4076.0,8656.0,10268.0,9387.71,9827.6,15446.28,15438.61,15437.61,15445.88,1930.5,1929.53,1929.44,1930.49
11,PM2,8G,32,1,8769.0,13015.0,17380.0,19687.0,4904.0,17360.0,9853.98,9923.2,16927.02,16923.58,16923.03,16926.59,2115.67,2115.25,2115.18,2115.63
12,PM2,16G,1,1,326.0,357.0,392.0,431.0,3406.0,3556.0,3469.6,3633.6,4142.22,4142.99,4141.3,4141.7,517.21,517.31,517.18,517.22
13,PM2,16G,2,1,363.0,410.0,466.0,510.0,6115.0,6872.0,6533.44,6866.4,8238.26,8238.9,8237.31,8238.01,1029.21,1029.28,1029.19,1029.26
14,PM2,16G,4,1,556.0,620.0,691.0,758.0,8937.0,9556.0,9236.75,9692.0,12905.07,12905.53,12904.64,12905.33,1612.69,1612.73,1612.7,1612.78
15,PM2,16G,8,1,1378.0,1466.0,1568.0,1647.0,8875.0,9955.0,9400.75,9838.6,15443.14,15441.52,15440.8,15443.0,1930.11,1929.91,1929.86,1930.13
16,PM2,16G,16,1,3051.0,3267.0,3614.0,4040.0,8625.0,10374.0,9433.49,9869.8,16928.56,16920.89,16919.76,16927.59,2115.88,2114.93,2114.78,2115.77
17,PM2,16G,32,1,8900.0,13016.0,17393.0,20369.0,4184.0,18929.0,9657.74,9872.2,17780.39,17777.85,17779.59,17782.22,2222.2,2221.87,2222.09,2222.44
18,PM2,32G,1,1,336.0,365.0,403.0,432.0,3204.0,3514.0,3357.17,3522.8,5070.06,5070.51,5069.34,5069.6,633.41,633.47,633.37,633.39
19,PM2,32G,2,1,387.0,445.0,515.0,594.0,5644.0,6660.0,6260.67,6575.4,9388.88,9389.2,9388.74,9388.97,1173.27,1173.32,1173.32,1173.34
20,PM2,32G,4,1,550.0,612.0,683.0,748.0,8831.0,9424.0,9139.41,9577.2,14584.28,14584.47,14584.19,14584.44,1822.77,1822.8,1822.8,1822.83
21,PM2,32G,8,1,1352.0,1450.0,1549.0,1627.0,8771.0,10105.0,9407.1,9856.8,16922.24,16922.4,16922.14,16922.3,2115.12,2115.15,2115.14,2115.15
22,PM2,32G,16,1,3031.0,3260.0,3621.0,4044.0,8273.0,10934.0,9405.84,9839.4,17782.96,17776.54,17777.53,17784.11,2222.59,2221.74,2221.86,2222.73
23,PM2,32G,32,1,8769.0,12989.0,17302.0,19949.0,3823.0,21563.0,9825.66,3991.8,18503.62,18502.01,18500.48,18502.14,2312.32,2312.07,2311.88,2312.14
