,nodename,filesize_per_thread xfersize blocksize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
242,CN7,16G 4M 8M,1,16,5582.0,7329.0,8891.0,14746.0,162.0,190.0,183.93,1544.33,3440.06,3439.6,3468.27,111.73,404.44,404.22,403.49,12.01
243,CN7,16G 4M 8M,2,1,5844.0,6499.0,8444.0,13610.0,154.0,186.0,178.35,2956.33,6412.08,3435.11,3488.46,6610.44,768.49,404.18,402.6,768.92
244,CN7,16G 4M 8M,2,4,5888.0,6455.0,8498.0,9241.0,154.0,184.0,177.43,2927.33,3232.13,6693.76,6601.14,3217.04,377.27,769.61,769.45,378.37
245,CN7,16G 4M 8M,2,16,5932.0,6586.0,8487.0,11425.0,152.0,184.0,176.34,2902.67,6364.3,3292.56,3174.42,6261.08,743.53,377.52,376.34,742.55
246,CN7,16G 4M 8M,4,1,7045.0,8269.0,10552.0,12124.0,130.0,177.0,156.87,5186.67,9680.27,9632.87,9445.42,9480.28,1044.93,1044.2,1044.93,1045.68
247,CN7,16G 4M 8M,4,4,7329.0,9022.0,11600.0,15139.0,122.0,177.0,156.03,5168.0,9502.78,9521.83,9327.13,9311.74,1025.66,1025.91,1022.67,1022.82
248,CN7,16G 4M 8M,4,16,6827.0,8116.0,10420.0,15598.0,129.0,174.0,155.76,5139.67,9488.12,9478.47,9361.43,9293.23,1024.32,1023.36,1024.13,1023.88
249,CN7,16G 4M 8M,8,1,19617.0,22588.0,26258.0,30278.0,0.0,0.0,0.0,4913.0,9967.61,9894.35,9850.73,9930.23,1076.73,1076.95,1077.26,1080.37
250,CN7,16G 4M 8M,8,4,19268.0,22151.0,25559.0,28355.0,0.0,0.0,0.0,4946.33,10071.39,9960.36,9923.45,10014.25,1088.2,1088.2,1087.81,1090.41
251,CN7,16G 4M 8M,8,16,19617.0,22414.0,25909.0,28006.0,0.0,0.0,0.0,4860.33,9875.42,9779.05,9742.93,9721.44,1065.24,1064.05,1064.57,1064.44
252,CN7,16G 4M 8M,16,1,36264.0,39759.0,44128.0,47099.0,0.0,0.0,0.0,4646.0,10070.34,9966.95,9917.4,9947.15,1076.16,1076.11,1075.46,1075.79
253,CN7,16G 4M 8M,16,4,36264.0,39759.0,43604.0,46400.0,0.0,0.0,0.0,4665.67,10240.54,10271.52,9994.78,9996.56,1075.03,1075.4,1076.92,1074.94
254,CN7,16G 4M 8M,16,16,36089.0,39584.0,43254.0,47273.0,0.0,0.0,0.0,4684.67,10303.76,10274.71,10107.69,10077.35,1082.09,1082.21,1081.21,1080.09
255,CN7,32G 4M 8M,1,1,5538.0,6455.0,8444.0,10945.0,168.0,190.0,182.57,1532.67,62.48,3797.26,3728.88,3736.78,6.79,446.36,445.35,445.49
256,CN7,32G 4M 8M,1,4,5581.0,6980.0,8891.0,14658.0,156.0,191.0,183.02,1536.33,3695.47,3750.68,3702.23,63.74,444.85,445.9,445.8,6.84
257,CN7,32G 4M 8M,1,16,5472.0,6674.0,8498.0,15051.0,155.0,190.0,185.16,1554.33,3695.39,3774.46,61.17,3774.92,445.36,446.0,6.52,446.82
258,CN7,32G 4M 8M,2,1,6215.0,6543.0,8247.0,13697.0,153.0,185.0,173.27,2864.67,3663.68,3766.13,7230.6,7093.89,429.32,430.37,822.79,820.59
259,CN7,32G 4M 8M,2,4,6150.0,6499.0,8225.0,13653.0,154.0,186.0,173.7,2854.67,7110.22,7264.44,3633.15,3544.78,821.73,823.12,414.1,413.04
260,CN7,32G 4M 8M,2,16,6193.0,6564.0,8138.0,15357.0,149.0,186.0,173.52,2858.67,3562.16,3657.5,7208.77,6978.28,413.62,414.22,822.6,820.49
261,CN7,32G 4M 8M,4,1,8094.0,9284.0,12474.0,16450.0,111.0,176.0,149.83,4927.0,9970.78,10029.7,9884.78,9856.33,1074.62,1075.65,1076.15,1074.38
262,CN7,32G 4M 8M,4,4,7635.0,9055.0,12255.0,17040.0,111.0,173.0,151.83,5015.0,10177.73,10230.17,10107.47,10037.06,1101.41,1100.69,1099.67,1097.99
263,CN7,32G 4M 8M,4,16,7482.0,8979.0,11862.0,14396.0,114.0,176.0,150.2,4953.0,10043.7,10127.83,10030.7,9960.31,1087.53,1088.86,1088.64,1087.05
264,CN7,32G 4M 8M,8,1,19879.0,22763.0,26171.0,29054.0,0.0,0.0,0.0,4756.0,10478.19,10445.11,10394.54,10391.37,1105.04,1104.74,1105.7,1104.32
265,CN7,32G 4M 8M,8,4,19617.0,22588.0,25996.0,28618.0,0.0,0.0,0.0,4806.0,10504.86,10573.52,10415.81,10544.14,1109.98,1110.86,1109.38,1110.47
266,CN7,32G 4M 8M,8,16,19530.0,22414.0,25909.0,28268.0,0.0,0.0,0.0,4836.67,10564.48,10521.55,10443.68,10450.35,1112.75,1109.85,1110.04,1110.12
267,CN7,32G 4M 8M,16,1,36439.0,39584.0,43779.0,47973.0,0.0,0.0,0.0,4642.0,10470.06,10406.76,10406.15,10421.58,1101.11,1100.17,1101.08,1100.79
268,CN7,32G 4M 8M,16,4,36438.0,39934.0,43953.0,47972.0,0.0,0.0,0.0,4636.0,10187.41,10283.62,10108.33,10181.05,1097.58,1097.53,1096.81,1097.48
269,CN7,32G 4M 8M,16,16,112.0,464.0,634.0,760.0,0.0,0.0,0.0,2830.0,11.9,7284.15,11.43,14355.67,1.19,900.08,1.14,1758.19
270,CN7,8G 4M 16M,1,1,12343.0,15707.0,19792.0,19792.0,0.0,0.0,0.0,1424.67,2810.85,5794.88,173.07,189.17,324.1,632.36,18.62,19.57
271,CN7,8G 4M 16M,1,4,12430.0,15838.0,17258.0,17258.0,0.0,0.0,0.0,1401.33,2983.34,173.3,2832.45,2901.85,326.37,19.39,323.97,325.57
272,CN7,8G 4M 16M,1,16,12736.0,15969.0,17258.0,17258.0,0.0,0.0,0.0,1424.33,173.86,3006.13,2874.56,2914.54,19.4,326.07,324.55,325.19
273,CN7,8G 4M 16M,2,1,12081.0,14265.0,17870.0,18219.0,0.0,0.0,0.0,2719.67,5795.4,5677.02,2915.59,2895.14,631.94,629.53,325.14,323.63
274,CN7,8G 4M 16M,2,4,12256.0,13916.0,17433.0,18219.0,0.0,0.0,0.0,2697.67,2992.05,2895.88,5600.08,5597.66,325.11,322.87,628.09,630.17
275,CN7,8G 4M 16M,2,16,12125.0,14003.0,17607.0,18132.0,0.0,0.0,0.0,2698.0,5828.45,5632.4,2932.91,2845.26,634.47,628.55,323.9,323.77
276,CN7,8G 4M 16M,4,1,12867.0,14309.0,17870.0,18831.0,0.0,0.0,0.0,5167.0,8368.45,8359.69,8235.67,8204.07,908.96,905.76,905.03,906.81
277,CN7,8G 4M 16M,4,4,13042.0,14615.0,18481.0,18744.0,0.0,0.0,0.0,5030.0,8081.87,8063.93,7994.54,7942.62,876.43,872.88,874.91,875.11
278,CN7,8G 4M 16M,4,16,13129.0,14178.0,17782.0,19442.0,0.0,0.0,0.0,5012.0,7814.4,7794.89,7678.57,7669.25,846.1,844.22,844.47,842.82
279,CN7,8G 4M 16M,8,1,33467.0,37662.0,42380.0,45176.0,0.0,0.0,0.0,5142.67,9675.44,9747.69,9522.22,9593.08,1047.36,1049.2,1046.7,1045.94
280,CN7,8G 4M 16M,8,4,32462.0,36263.0,41157.0,44128.0,0.0,0.0,0.0,5238.33,9676.95,9655.86,9587.24,9550.51,1048.36,1047.66,1045.58,1046.46
281,CN7,8G 4M 16M,8,16,34298.0,38186.0,43604.0,45176.0,0.0,0.0,0.0,5028.0,9266.7,9287.95,9273.71,9199.68,1006.22,1006.59,1003.84,1003.65
282,CN7,8G 4M 16M,16,1,66148.0,70429.0,76371.0,83711.0,0.0,0.0,0.0,4823.0,9815.08,9799.31,9718.16,9675.32,1056.82,1057.19,1055.63,1055.68
283,CN7,8G 4M 16M,16,4,66585.0,71478.0,76022.0,80216.0,0.0,0.0,0.0,4762.33,9682.28,9714.02,9613.26,9639.13,1045.12,1043.48,1045.18,1045.76
284,CN7,8G 4M 16M,16,16,65187.0,69730.0,74275.0,81265.0,0.0,0.0,0.0,4912.0,10098.21,10094.36,10073.48,10093.83,1090.54,1091.81,1089.67,1093.69
285,CN7,16G 4M 16M,1,1,11687.0,15183.0,17258.0,17695.0,0.0,0.0,0.0,1454.33,3324.0,104.75,3339.13,3455.41,378.54,11.72,378.6,380.55
286,CN7,16G 4M 16M,1,4,12037.0,15052.0,17018.0,17520.0,0.0,0.0,0.0,1439.67,105.09,3419.32,3421.53,3265.4,11.73,379.53,377.62,378.0
287,CN7,16G 4M 16M,1,16,12299.0,15357.0,16996.0,17345.0,0.0,0.0,0.0,1438.33,3380.73,3313.29,3373.57,105.16,378.96,377.57,377.62,11.79
288,CN7,16G 4M 16M,2,1,12125.0,12823.0,17083.0,17782.0,0.0,0.0,0.0,2708.67,6252.48,3441.15,3412.88,6271.47,699.66,379.27,377.51,701.9
289,CN7,16G 4M 16M,2,4,12125.0,12692.0,16690.0,20054.0,0.0,0.0,0.0,2716.67,3046.86,6462.3,6589.2,3205.57,354.64,723.79,721.28,355.62
290,CN7,16G 4M 16M,2,16,12081.0,12736.0,17083.0,20491.0,0.0,0.0,0.0,2741.67,6701.35,3192.9,3148.28,6526.08,746.04,355.86,354.11,744.56
291,CN7,16G 4M 16M,4,1,12823.0,13522.0,17083.0,18132.0,0.0,0.0,0.0,5214.33,9513.46,9574.15,9614.03,9526.55,1043.72,1044.75,1043.77,1047.11
292,CN7,16G 4M 16M,4,4,13522.0,15095.0,17870.0,20579.0,0.0,0.0,0.0,5078.67,9285.71,9390.95,9446.84,9397.84,1022.43,1023.55,1024.27,1026.39
293,CN7,16G 4M 16M,4,16,14658.0,16887.0,18569.0,21015.0,0.0,0.0,0.0,5014.0,9257.96,9241.16,9321.82,9226.07,1005.18,1004.35,1003.87,1005.43
294,CN7,16G 4M 16M,8,1,33861.0,37836.0,42555.0,48322.0,0.0,0.0,0.0,4969.0,10059.86,10095.22,10143.72,9959.5,1087.41,1088.94,1088.59,1089.63
295,CN7,16G 4M 16M,8,4,33948.0,37661.0,42905.0,46924.0,0.0,0.0,0.0,4951.33,10118.53,10185.85,10159.11,10030.65,1088.59,1090.37,1086.59,1089.16
296,CN7,16G 4M 16M,8,16,34385.0,38361.0,43428.0,47099.0,0.0,0.0,0.0,4905.33,10158.7,10159.51,10145.6,10052.87,1089.73,1087.65,1089.4,1089.14
297,CN7,16G 4M 16M,16,1,33882.0,36016.0,39183.0,40277.0,0.0,0.0,0.0,4316.5,6088.58,5076.06,11533.94,12290.98,655.36,539.21,1336.4,1442.36
298,CN7,16G 4M 16M,16,4,44864.0,47588.0,51116.0,53929.0,0.0,0.0,0.0,4549.33,6700.22,11927.92,11934.47,6712.48,724.24,1366.17,1368.93,726.75
299,CN7,16G 4M 16M,16,16,66760.0,71478.0,76372.0,81614.0,0.0,0.0,0.0,4707.67,10234.69,10122.76,10046.32,10128.81,1088.24,1087.74,1089.24,1089.81
300,CN7,32G 4M 16M,1,1,11338.0,13654.0,16756.0,19006.0,0.0,0.0,0.0,1463.67,63.32,3587.31,3750.79,3669.96,6.78,413.74,429.89,429.36
301,CN7,32G 4M 16M,1,4,11294.0,13042.0,16297.0,23462.0,0.0,0.0,0.0,1473.67,3760.85,3759.39,3735.79,65.44,429.44,430.54,429.92,6.96
302,CN7,32G 4M 16M,1,16,11163.0,12823.0,16144.0,23637.0,0.0,0.0,0.0,1476.0,3787.73,3734.52,62.32,3740.31,430.68,429.48,6.65,429.88
303,CN7,32G 4M 16M,2,1,12736.0,13216.0,16057.0,24598.0,0.0,0.0,0.0,2701.33,3529.97,3641.45,7167.84,6828.17,399.75,401.05,781.45,779.14
304,CN7,32G 4M 16M,2,4,12561.0,12998.0,16057.0,22676.0,0.0,0.0,0.0,2712.0,7119.05,7146.89,3668.68,3531.11,794.12,794.14,400.76,400.29
305,CN7,32G 4M 16M,2,16,12692.0,13216.0,15969.0,22239.0,0.0,0.0,0.0,2673.67,3680.72,3533.12,7047.66,7155.51,401.21,400.41,780.79,781.29
306,CN7,32G 4M 16M,4,1,13828.0,16079.0,18045.0,21889.0,0.0,0.0,0.0,4947.67,9899.6,9985.77,9923.47,9885.17,1075.22,1077.06,1076.24,1074.71
307,CN7,32G 4M 16M,4,4,14746.0,16996.0,18744.0,22326.0,0.0,0.0,0.0,4941.0,10021.3,10010.49,10023.45,9965.29,1087.33,1086.57,1086.68,1086.29
308,CN7,32G 4M 16M,4,16,14833.0,17018.0,18918.0,23811.0,0.0,0.0,0.0,4938.33,10058.98,10046.87,10059.01,10008.98,1087.2,1087.96,1089.28,1087.28
309,CN7,32G 4M 16M,8,1,35215.0,39409.0,44652.0,47623.0,0.0,0.0,0.0,4736.0,10394.38,10404.75,10232.29,10333.8,1098.18,1098.92,1099.19,1099.49
310,CN7,32G 4M 16M,8,4,34516.0,38535.0,43604.0,47448.0,0.0,0.0,0.0,4820.67,10559.04,10517.76,10508.66,10452.08,1116.6,1115.55,1116.1,1115.72
311,CN7,32G 4M 16M,8,16,35215.0,39409.0,44652.0,48147.0,0.0,0.0,0.0,4759.33,10464.66,10388.16,10472.88,10415.36,1103.64,1103.45,1104.95,1104.32
312,CN7,32G 4M 16M,16,1,45220.0,48443.0,52660.0,59681.0,0.0,0.0,0.0,3784.67,6965.42,6875.02,11625.4,7666.82,729.16,728.86,1319.17,806.25
313,CN7,32G 4M 16M,16,4,44898.0,48049.0,51580.0,55106.0,0.0,0.0,0.0,4213.67,7007.44,10475.11,6796.06,11573.18,737.64,1187.9,738.23,1323.29
314,CN7,32G 4M 16M,16,16,251.0,522.0,679.0,745.0,0.0,0.0,0.0,2911.33,4926.66,6318.74,1669.66,9502.54,597.63,778.28,201.93,1161.03
