,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
46,CN7,8G ,4,12,931.0,1195.0,1999.0,15558.0,1154.0,1353.0,1283.54,5353.8,2425.92,2425.62,2426.39,2426.88,2288.29,2289.1,2289.43,2289.28,2190.5,2190.44,2190.3,2190.07,303.97,303.96,303.97,303.97,288.46,288.46,288.49,288.48,276.2,276.2,276.18,276.2
47,CN7,8G ,4,24,999.0,1371.0,2048.0,14267.0,1117.0,1336.0,1268.88,5261.2,2378.66,2378.78,2378.78,2379.47,2241.87,2241.86,2241.02,2242.01,2190.2,2189.72,2190.16,2190.62,297.95,297.94,297.95,297.95,282.36,282.35,282.38,282.37,276.23,276.22,276.21,276.24
48,CN7,8G ,8,1,1358.0,10709.0,32873.0,165780.0,279.0,1086.0,715.95,7014.6,2935.58,3987.19,3974.98,3075.43,2977.24,4015.07,2946.1,2933.38,2892.39,3974.19,2964.64,2892.63,367.38,498.72,497.25,384.85,373.86,503.42,370.0,368.36,363.26,498.31,372.26,363.27
49,CN7,8G ,8,2,1260.0,7878.0,45875.0,99720.0,300.0,1354.0,892.75,6119.2,2753.39,3253.48,3253.31,3222.15,2788.96,3228.46,3195.78,2727.89,3195.47,3163.62,3132.47,2695.4,344.47,406.91,406.89,403.01,350.19,404.83,400.88,342.36,400.87,396.94,393.02,338.45
50,CN7,8G ,8,4,1234.0,13134.0,33974.0,220620.0,44.0,515.0,352.59,7121.4,3448.17,3251.83,3202.21,3164.27,3308.8,3042.34,3198.1,3408.72,3263.93,3290.83,3290.39,3522.35,431.43,406.9,400.72,395.92,415.12,381.85,401.4,427.67,409.65,412.98,412.97,441.96
51,CN7,8G ,8,8,1244.0,11947.0,38745.0,163788.0,196.0,1034.0,709.83,7124.8,3449.64,3277.1,3278.97,3396.08,3287.77,3326.87,3334.44,3427.58,3236.61,3245.73,3254.18,3362.03,431.41,409.96,410.14,424.65,412.43,417.3,418.31,429.9,406.15,407.3,408.4,421.86
52,CN7,8G ,8,12,1230.0,20054.0,22518.0,129499.0,358.0,1028.0,715.84,7352.4,3391.8,3396.91,3385.65,3346.12,3288.61,3312.2,3283.26,3297.06,3413.01,3411.39,3432.22,3410.18,424.16,424.79,423.38,418.45,412.51,415.36,411.87,413.55,428.22,427.99,430.6,427.83
53,CN7,8G ,8,24,1253.0,20159.0,22152.0,127507.0,387.0,1275.0,875.77,7250.4,3317.21,3357.33,3326.44,3330.55,3232.58,3234.32,3248.97,3218.66,3376.38,3376.59,3376.28,3376.81,414.69,419.74,415.9,416.41,405.41,405.41,407.35,403.57,423.57,423.56,423.53,423.58
54,CN7,8G ,16,1,5892.0,35206.0,67529.0,197762.0,52.0,459.0,175.76,6001.6,3534.56,3534.91,3030.12,3029.77,3538.99,3539.07,3034.41,3538.9,3520.1,3520.32,2996.64,3520.32,441.79,441.8,378.77,378.77,442.89,442.91,379.9,442.9,440.56,440.57,375.19,440.57
55,CN7,8G ,16,2,13134.0,34367.0,67529.0,215377.0,52.0,444.0,155.95,6270.8,3426.74,3373.13,3652.72,3648.02,3398.12,3388.15,3650.49,3650.66,3115.69,3376.93,3632.1,3398.11,428.28,421.57,456.48,455.92,425.32,424.08,456.83,456.83,390.1,422.73,454.62,425.37
56,CN7,8G ,16,4,16541.0,30671.0,68944.0,206570.0,20.0,213.0,79.4,6111.8,3521.11,3384.77,3516.14,3520.85,3476.98,3336.17,3472.19,3345.89,3414.91,3279.22,3419.79,3420.05,439.97,422.93,439.34,439.96,435.07,417.48,434.45,418.69,427.42,410.48,428.05,428.07
57,CN7,8G ,16,8,17236.0,34918.0,70097.0,172071.0,46.0,419.0,151.04,6211.4,3545.74,3549.18,3478.86,3472.28,3436.24,3491.39,3402.26,3352.1,3471.48,3471.39,3344.86,3413.2,443.0,443.4,434.66,433.83,429.87,436.77,425.64,419.37,434.37,434.39,418.57,427.13
58,CN7,8G ,16,12,25769.0,28233.0,58511.0,192309.0,58.0,433.0,151.19,6341.2,3528.62,3533.82,3526.05,3532.34,3417.25,3428.36,3427.87,3415.89,3509.85,3509.9,3509.53,3509.52,440.89,441.54,440.57,441.35,427.48,428.89,428.84,427.35,439.28,439.28,439.24,439.25
59,CN7,8G ,16,24,25822.0,28181.0,58825.0,156867.0,156.0,834.0,307.9,6383.4,3532.86,3541.4,3539.47,3529.45,3426.16,3412.89,3408.3,3415.03,3537.61,3535.84,3538.02,3538.37,441.39,442.37,442.19,440.95,428.55,426.93,426.33,427.2,442.69,442.43,442.68,442.72
60,CN7,16G ,1,1,772.0,969.0,1194.0,25467.0,1296.0,1558.0,1490.76,1563.4,1754.69,1879.14,4.48,4.61,1889.66,14.41,14.69,14.34,1889.15,14.53,14.14,1888.91,219.93,235.52,1.45,1.45,237.76,3.68,3.69,3.67,237.71,3.63,3.6,237.72
61,CN7,16G ,1,2,901.0,1034.0,1263.0,15768.0,1217.0,1449.0,1383.19,1450.2,879.03,4.22,941.84,879.34,888.36,888.74,888.39,888.65,13.53,888.38,888.18,888.55,110.59,1.36,118.39,110.58,112.71,112.71,112.71,112.69,3.48,112.71,112.67,112.72
62,CN7,16G ,1,4,882.0,1004.0,1221.0,11810.0,1254.0,1454.0,1410.41,1480.2,473.25,911.43,473.23,941.95,451.81,889.26,482.81,920.25,888.71,888.48,888.21,888.61,59.94,114.56,59.93,118.44,58.15,112.76,62.04,116.65,112.71,112.7,112.67,112.72
63,CN7,16G ,1,8,882.0,1031.0,1588.0,4932.0,1225.0,1488.0,1427.11,1496.8,942.39,941.97,942.07,707.99,685.94,905.07,686.02,451.59,888.76,888.45,451.14,670.16,118.48,118.47,118.47,89.21,87.4,114.71,87.39,58.13,112.69,112.68,58.06,85.39
64,CN7,16G ,1,12,1019.0,1211.0,1827.0,4303.0,1228.0,1446.0,1391.88,1458.8,744.69,744.34,744.56,744.05,743.02,743.71,743.74,743.77,742.58,742.1,742.1,742.38,93.61,93.61,93.6,93.6,94.42,94.42,94.41,94.4,94.41,94.4,94.36,94.42
65,CN7,16G ,1,24,1243.0,1437.0,1991.0,4584.0,1196.0,1398.0,1331.3,1396.8,731.13,731.13,731.06,730.98,742.03,741.46,740.4,740.86,694.13,694.13,693.87,693.92,92.02,92.02,92.02,92.01,94.16,94.15,94.14,94.14,88.27,88.26,88.23,88.27
66,CN7,16G ,2,1,864.0,936.0,1132.0,22676.0,1210.0,1386.0,1328.87,2739.6,1754.08,4.31,1753.88,1644.85,1653.32,13.17,1653.33,1653.51,1653.14,1653.24,1653.13,1653.27,219.8,1.33,219.8,206.14,208.1,3.29,208.11,208.11,208.06,208.08,208.04,208.08
67,CN7,16G ,2,2,931.0,1041.0,1178.0,13986.0,1205.0,1379.0,1313.45,2698.4,1644.97,1699.22,1754.56,1644.72,833.14,1653.2,833.51,1653.35,833.43,1652.79,832.86,1653.49,206.11,212.94,219.77,206.11,105.67,208.06,105.66,208.07,105.68,208.01,105.64,208.09
68,CN7,16G ,2,4,917.0,994.0,1159.0,10106.0,1206.0,1380.0,1322.64,2728.8,1317.02,1754.34,1754.43,879.44,1681.82,1653.98,1681.38,833.83,1653.42,1653.47,1243.18,833.48,165.22,219.82,219.83,110.59,211.55,208.12,211.53,105.71,208.05,208.06,156.84,105.66
