0802-1238
CN8,4G ,1,1,1,865,1074,1303,4113,1188,1438,1373.60,1446,39.62,39.79,43.02,5511.37,6.58,6.6,6.81,689.24,88.99,89.03,5560.67,89.21,13.56,13.57,696.27,13.59,89.11,92.89,5556.14,89.08,13.57,13.85,696.2,13.57
CN8,4G ,1,1,2,881,1074,1237,4228,1194,1430,1361.00,1433,5511.44,39.79,40.02,39.56,689.25,6.6,6.63,6.58,88.96,89.0,89.39,5568.18,13.56,13.56,13.61,696.25,76.35,77.31,77.59,4763.19,11.63,11.72,11.63,596.79
CN8,4G ,1,1,3,938,1123,1369,4424,1206,1544,1406.80,1471,41.3,5506.95,40.01,39.56,6.61,689.27,6.63,6.57,5555.94,88.98,91.02,90.89,696.21,13.56,13.63,13.62,5569.22,89.83,88.83,90.93,696.26,13.66,13.54,13.6
CN8,4G ,1,1,4,938,1139,1401,4113,1204,1534,1395.20,1464,39.96,40.31,5507.17,39.55,6.59,6.64,689.3,6.57,88.98,5555.94,89.33,89.2,13.56,696.22,13.6,13.58,90.93,5557.14,88.8,89.07,13.6,696.32,13.53,13.57
CN8,4G ,1,1,5,914,1139,1303,4178,1308,1518,1402.80,1490,33.97,34.12,34.32,4720.9,5.64,5.66,5.69,590.8,76.25,77.85,4766.4,76.43,11.62,11.65,596.82,11.64,76.34,78.44,4762.8,76.32,11.63,11.74,596.76,11.63
CN8,4G ,1,2,1,930,1139,1467,2343,1300,1552,1417.20,1503,2773.45,2773.8,40.03,40.07,347.92,347.94,6.63,6.61,2822.76,88.96,89.35,2822.64,354.88,13.55,13.6,354.91,2823.04,90.15,90.48,2822.34,354.9,13.66,13.56,354.89
CN8,4G ,1,2,2,971,1139,1450,2573,1226,1468,1367.20,1449,35.4,35.69,2377.73,2377.35,5.66,5.68,298.27,298.21,76.52,76.23,2419.99,2420.13,11.63,11.61,304.23,304.22,77.75,2420.54,2423.1,77.73,11.64,304.29,304.17,11.64
CN8,4G ,1,2,3,947,1106,1483,2311,1212,1482,1383.80,1465,2377.68,2377.12,34.32,35.64,298.22,298.23,5.69,5.67,2423.21,2423.35,77.99,77.85,304.2,304.2,11.67,11.65,2419.87,78.4,76.11,2419.28,304.21,11.72,11.6,304.2
CN8,4G ,1,2,4,1004,1156,1450,2343,1268,1550,1393.80,1478,41.3,39.81,2773.36,2777.24,6.6,6.61,347.97,347.91,89.25,89.25,2831.75,2822.47,13.56,13.56,354.5,354.35,90.69,89.77,2822.43,2823.33,13.58,13.65,354.86,354.9
CN8,4G ,1,2,5,898,1123,1319,2311,1346,1428,1388.40,1462,2377.26,2377.55,34.32,35.36,298.23,298.25,5.69,5.65,2422.76,2422.76,76.84,78.12,304.18,304.18,11.65,11.66,2420.0,2420.64,76.09,77.72,304.21,304.29,11.59,11.63
CN8,4G ,1,4,1,889,1090,1369,2343,1294,1460,1401.20,1477,1210.27,1209.56,1206.46,1205.64,151.95,151.96,151.98,151.93,1258.48,1258.05,1248.67,1252.95,157.92,157.9,157.94,157.94,1252.15,1249.22,1248.35,1251.56,157.93,158.0,157.9,157.9
CN8,4G ,1,4,2,947,1139,1450,2376,1202,1458,1370.80,1451,1406.81,1406.82,1407.04,1406.92,177.27,177.29,177.31,177.25,1455.55,1456.22,1456.27,1456.44,184.21,184.21,184.26,184.24,1456.33,1461.24,1455.4,1456.14,184.23,184.32,184.19,184.22
CN8,4G ,1,4,3,906,1123,1303,2376,1206,1487,1406.60,1485,1406.98,1406.66,1411.54,1406.92,177.26,177.27,177.31,177.25,1455.88,1456.21,1456.26,1456.42,184.22,184.22,184.26,184.24,1456.32,1457.07,1456.73,1456.13,184.22,184.32,184.2,184.22
CN8,4G ,1,4,4,889,1074,1270,2278,1302,1464,1418.20,1493,1406.98,1406.49,1407.38,1407.42,177.26,177.27,177.31,177.25,1455.53,1456.2,1456.42,1456.42,184.2,184.21,184.26,184.23,1248.55,1249.48,1248.33,1248.39,157.91,158.0,157.89,157.91
CN8,4G ,1,4,5,947,1156,1467,2311,1302,1460,1389.60,1471,1207.85,1207.0,1206.61,1206.79,151.96,151.97,151.99,151.94,1248.45,1248.45,1251.63,1248.63,157.9,157.89,157.93,157.92,1248.4,1249.18,1248.61,1248.38,157.91,157.99,157.89,157.91
