,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN8,16G,1,1,728.0,950.0,1585.0,2250.0,1302.0,1531.0,1470.76,1542.2
1,CN8,16G,1,2,751.0,928.0,1116.0,1840.0,1278.0,1515.0,1452.57,1523.8
2,CN8,16G,1,4,768.0,946.0,1109.0,1873.0,1312.0,1519.0,1444.91,1515.6
3,CN8,16G,1,8,754.0,899.0,1099.0,1879.0,1283.0,1535.0,1452.02,1523.0
4,CN8,16G,1,12,754.0,902.0,1126.0,1886.0,1292.0,1520.0,1454.52,1525.4
5,CN8,16G,1,24,759.0,935.0,1129.0,1876.0,1277.0,1523.0,1452.78,1524.0
6,CN8,16G,2,1,795.0,904.0,1263.0,1769.0,1297.0,1478.0,1392.66,2899.6
7,CN8,16G,2,2,792.0,863.0,1057.0,1775.0,1308.0,1491.0,1391.67,2896.4
8,CN8,16G,2,4,796.0,863.0,1032.0,1830.0,1310.0,1493.0,1398.46,2917.0
9,CN8,16G,2,8,812.0,897.0,1073.0,1834.0,1293.0,1462.0,1384.5,2898.6
10,CN8,16G,2,12,796.0,874.0,1109.0,1853.0,1279.0,1493.0,1401.31,2935.0
11,CN8,16G,2,24,805.0,886.0,1085.0,1896.0,1282.0,1470.0,1384.41,2901.8
12,CN8,16G,4,1,1670.0,3752.0,6547.0,13304.0,736.0,1519.0,1168.58,4151.0
13,CN8,16G,4,2,1073.0,3686.0,7563.0,21758.0,878.0,1518.0,1235.22,5122.6
14,CN8,16G,4,4,1144.0,4804.0,9503.0,13147.0,693.0,1492.0,1175.52,4410.8
15,CN8,16G,4,8,1159.0,2263.0,7697.0,11974.0,779.0,1457.0,1233.08,5101.2
16,CN8,16G,4,12,1142.0,1545.0,1963.0,3985.0,920.0,1404.0,1258.51,5157.6
17,CN8,16G,4,24,1155.0,1604.0,2119.0,6219.0,890.0,1421.0,1264.5,5212.4
18,CN8,16G,8,1,5263.0,10237.0,14484.0,20736.0,456.0,1493.0,649.28,5061.4
19,CN8,16G,8,2,5970.0,13907.0,20264.0,26345.0,254.0,1496.0,656.16,4487.8
20,CN8,16G,8,4,7727.0,14143.0,19320.0,23567.0,302.0,1484.0,613.72,4747.2
21,CN8,16G,8,8,8002.0,14850.0,20159.0,23934.0,346.0,1428.0,623.15,4752.6
22,CN8,16G,8,12,7057.0,19478.0,25585.0,29675.0,454.0,1415.0,606.58,5048.8
23,CN8,16G,8,24,8284.0,16686.0,22518.0,27709.0,455.0,1425.0,604.72,5033.2
24,CN8,16G,16,1,14156.0,20841.0,25559.0,37683.0,167.0,1357.0,328.88,4512.5
25,CN8,16G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CN8,16G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CN8,16G,16,8,20709.0,29544.0,38850.0,47763.0,162.0,1165.0,269.7,4296.8
28,CN8,16G,16,12,20945.0,32978.0,43569.0,51223.0,222.0,1202.0,279.13,4671.8
29,CN8,16G,16,24,20841.0,33423.0,43464.0,49965.0,217.0,1188.0,279.64,4682.8
30,CN8,32G,1,1,718.0,909.0,2135.0,3637.0,1308.0,1531.0,1471.25,1543.0
31,CN8,32G,1,2,732.0,869.0,1089.0,1214.0,1316.0,1555.0,1479.56,1551.4
32,CN8,32G,1,4,745.0,889.0,1093.0,1781.0,1292.0,1552.0,1476.16,1548.6
33,CN8,32G,1,8,737.0,846.0,1057.0,1860.0,1329.0,1544.0,1475.29,1547.6
34,CN8,32G,1,12,738.0,850.0,1093.0,1817.0,1261.0,1546.0,1474.35,1546.4
35,CN8,32G,1,24,733.0,853.0,1073.0,1814.0,1335.0,1574.0,1480.65,1552.6
36,CN8,32G,2,1,810.0,900.0,1532.0,2336.0,1283.0,1508.0,1381.19,2890.4
37,CN8,32G,2,2,825.0,887.0,1020.0,1470.0,1172.0,1489.0,1381.35,2880.8
38,CN8,32G,2,4,933.0,1035.0,1112.0,1676.0,984.0,1507.0,1359.42,2820.6
39,CN8,32G,2,8,949.0,1316.0,1647.0,1870.0,722.0,1458.0,1318.48,2744.4
40,CN8,32G,2,12,1058.0,1762.0,2122.0,2315.0,660.0,1485.0,1303.05,2705.0
41,CN8,32G,2,24,1023.0,1670.0,1963.0,2130.0,621.0,1473.0,1302.33,2689.4
42,CN8,32G,4,1,1640.0,3595.0,6311.0,10342.0,763.0,1514.0,1170.22,4220.8
43,CN8,32G,4,2,1630.0,4339.0,8271.0,26765.0,848.0,1512.0,1145.4,4751.0
44,CN8,32G,4,4,1234.0,4453.0,8408.0,11390.0,692.0,1489.0,1153.69,4321.6
45,CN8,32G,4,8,1316.0,3473.0,8880.0,12491.0,782.0,1446.0,1141.97,4750.2
46,CN8,32G,4,12,1243.0,1983.0,5323.0,9785.0,878.0,1436.0,1178.46,4841.2
47,CN8,32G,4,24,1266.0,1706.0,3470.0,9470.0,843.0,1414.0,1192.97,4906.0
48,CN8,32G,8,1,5420.0,10342.0,15086.0,26713.0,457.0,1495.0,626.14,4889.2
49,CN8,32G,8,2,6434.0,12212.0,27613.0,110101.0,203.0,1489.0,577.5,3988.33
50,CN8,32G,8,4,8036.0,13009.0,33260.0,70058.0,234.0,1418.0,491.53,3778.5
51,CN8,32G,8,8,9837.0,15676.0,23672.0,40239.0,355.0,1252.0,533.76,4280.8
52,CN8,32G,8,12,9083.0,17184.0,23200.0,28181.0,448.0,1417.0,567.12,4722.2
53,CN8,32G,8,24,9293.0,17485.0,23567.0,28495.0,442.0,1421.0,565.45,4712.8
54,CN8,32G,16,1,13698.0,19792.0,23725.0,27132.0,168.0,1426.0,340.37,4820.0
55,CN8,32G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,CN8,32G,16,4,15008.0,21365.0,40633.0,132645.0,114.0,1262.0,259.61,3784.0
57,CN8,32G,16,8,24117.0,32670.0,47711.0,75170.0,171.0,1020.0,261.45,4188.0
58,CN8,32G,16,12,20998.0,33056.0,43673.0,51538.0,202.0,1200.0,274.96,4605.8
