,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN9,16G,1,1,737.0,969.0,2052.0,3447.0,1306.0,1523.0,1466.73,1538.4
1,CN9,16G,1,2,733.0,908.0,1102.0,1955.0,1336.0,1542.0,1470.89,1542.8
2,CN9,16G,1,4,745.0,890.0,1099.0,1892.0,1333.0,1550.0,1473.59,1545.2
3,CN9,16G,1,8,740.0,881.0,1102.0,3999.0,1302.0,1524.0,1460.48,1532.0
4,CN9,16G,1,12,745.0,886.0,1126.0,1837.0,1324.0,1522.0,1458.41,1529.6
5,CN9,16G,1,24,745.0,899.0,1142.0,1863.0,1324.0,1538.0,1461.82,1533.4
6,CN9,16G,2,1,776.0,892.0,1637.0,3013.0,1279.0,1514.0,1414.89,2960.4
7,CN9,16G,2,2,786.0,848.0,1070.0,1801.0,1237.0,1509.0,1405.34,2927.8
8,CN9,16G,2,4,792.0,863.0,1064.0,2235.0,1252.0,1508.0,1397.47,2919.8
9,CN9,16G,2,8,794.0,869.0,1067.0,1781.0,1276.0,1501.0,1406.14,2946.6
10,CN9,16G,2,12,792.0,876.0,1103.0,2182.0,1296.0,1505.0,1404.01,2943.6
11,CN9,16G,2,24,778.0,855.0,1116.0,1774.0,1307.0,1512.0,1428.32,2991.6
12,CN9,16G,4,1,1696.0,3693.0,6508.0,12871.0,765.0,1506.0,1160.73,4295.4
13,CN9,16G,4,2,1172.0,3965.0,7727.0,24471.0,882.0,1514.0,1219.54,5020.4
14,CN9,16G,4,4,1185.0,4951.0,10322.0,17800.0,652.0,1498.0,1168.15,4343.6
15,CN9,16G,4,8,1221.0,3454.0,9634.0,14352.0,835.0,1446.0,1187.33,4915.4
16,CN9,16G,4,12,1172.0,1607.0,2088.0,5705.0,877.0,1421.0,1255.2,5128.2
17,CN9,16G,4,24,1158.0,1598.0,2130.0,5669.0,904.0,1430.0,1265.4,5193.0
18,CN9,16G,8,1,5040.0,9739.0,14719.0,25533.0,411.0,1488.0,664.48,5011.6
19,CN9,16G,8,2,6049.0,13042.0,19740.0,31484.0,250.0,1497.0,648.02,4550.0
20,CN9,16G,8,4,7832.0,14353.0,20264.0,25664.0,279.0,1459.0,597.04,4563.8
21,CN9,16G,8,8,8284.0,15611.0,21942.0,26555.0,327.0,1430.0,609.03,4657.8
22,CN9,16G,8,12,7851.0,20683.0,27787.0,32401.0,449.0,1435.0,595.35,4948.6
23,CN9,16G,8,24,8874.0,18219.0,24982.0,30016.0,436.0,1430.0,585.96,4889.8
24,CN9,16G,16,1,12845.0,20710.0,27395.0,47711.0,131.0,1442.0,333.23,4465.0
25,CN9,16G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CN9,16G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CN9,16G,16,8,21784.0,32611.0,45037.0,59192.0,156.0,1195.0,269.88,4238.2
28,CN9,16G,16,12,21732.0,35075.0,46714.0,56571.0,203.0,1220.0,273.05,4565.0
29,CN9,16G,16,24,21470.0,34996.0,46505.0,55208.0,205.0,1216.0,276.36,4621.2
30,CN9,32G,1,1,712.0,889.0,2032.0,5954.0,1293.0,1532.0,1475.25,1547.2
31,CN9,32G,1,2,732.0,866.0,1084.0,1653.0,1303.0,1536.0,1468.69,1540.4
32,CN9,32G,1,4,748.0,858.0,1080.0,1794.0,1250.0,1521.0,1455.6,1526.4
33,CN9,32G,1,8,748.0,873.0,1070.0,2077.0,1240.0,1521.0,1453.76,1524.6
34,CN9,32G,1,12,753.0,890.0,1089.0,1791.0,1282.0,1519.0,1451.17,1521.8
35,CN9,32G,1,24,745.0,873.0,1083.0,1778.0,1331.0,1521.0,1460.87,1531.8
