,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
30,CN10,32G,1,12,809.0,900.0,1211.0,1889.0,1208.0,1412.0,1348.53,1414.2,3660.77,3642.22,3646.74,3702.7,3585.97,3542.78,3557.46,3564.39,3579.56,3552.41,3559.99,3582.71,392.22,391.87,391.69,393.09,381.11,381.53,380.5,381.09,380.8,380.63,380.66,380.5
31,CN10,32G,1,48,827.0,938.0,1529.0,1896.0,1157.0,1400.0,1323.83,1388.6,3624.81,3593.43,3634.84,3639.31,3626.18,3604.77,3629.26,3622.64,3600.75,3587.1,3606.12,3612.35,385.97,386.18,386.62,386.61,385.88,386.29,385.99,386.01,380.81,380.63,381.05,380.56
32,CN10,32G,2,12,1060.0,1827.0,2209.0,2749.0,625.0,1380.0,1226.8,2546.8,6704.79,6678.79,6654.73,6679.76,6585.99,6566.59,6623.8,6604.57,6609.28,6524.65,6592.51,6629.18,716.66,716.47,716.37,715.85,707.15,706.98,707.93,707.4,704.32,703.84,704.54,704.86
33,CN10,32G,2,48,1113.0,1709.0,2100.0,3405.0,640.0,1391.0,1204.65,2500.2,6817.21,6805.85,6759.8,6704.13,6689.35,6719.32,6735.08,6810.42,6678.44,6632.51,6784.65,6711.91,712.58,711.22,710.98,705.51,705.08,705.92,707.66,711.4,702.45,701.83,704.05,703.23
34,CN10,32G,4,12,1381.0,1850.0,3372.0,8369.0,781.0,1313.0,1102.6,4552.4,10486.97,10471.58,10492.86,10495.78,10353.52,10356.69,10362.06,10358.22,10312.75,10307.44,10307.22,10299.21,1287.43,1287.87,1288.29,1287.87,1272.22,1272.14,1272.4,1272.74,1266.58,1266.54,1266.76,1266.33
35,CN10,32G,4,48,1424.0,1919.0,3739.0,9660.0,773.0,1307.0,1094.64,4520.6,10490.26,10448.8,10524.11,10503.49,10506.87,10511.37,10509.5,10550.79,10460.56,10457.64,10438.63,10420.24,1287.27,1282.85,1290.86,1287.41,1286.93,1287.34,1287.91,1291.92,1281.73,1282.0,1281.4,1277.86
36,CN10,32G,8,12,8074.0,18639.0,45456.0,99510.0,319.0,1326.0,568.04,4714.6,11414.55,11419.86,11433.87,11434.87,11395.06,11377.39,11382.18,11387.09,11345.96,11333.31,11313.48,11309.78,1404.15,1404.32,1406.58,1405.47,1396.66,1395.09,1394.78,1395.13,1394.26,1393.32,1392.53,1392.02
37,CN10,32G,8,48,7727.0,19268.0,52376.0,105801.0,333.0,1319.0,559.36,4606.6,11135.21,11152.94,11120.88,11129.65,11152.54,11160.74,11145.36,11149.02,11159.33,11149.39,11146.93,11129.3,1364.27,1366.41,1362.46,1364.2,1365.35,1365.2,1363.32,1365.03,1366.28,1365.96,1367.52,1365.4
38,CN10,32G,16,12,22886.0,41261.0,88395.0,143236.0,114.0,935.0,220.59,4578.6,11579.46,11515.08,11521.47,11511.91,11504.16,11511.59,11520.85,11546.92,11454.12,11451.4,11444.4,11475.98,1420.73,1412.61,1413.27,1412.31,1411.67,1411.48,1412.11,1416.09,1404.07,1404.09,1403.65,1408.03
39,CN10,32G,16,48,24825.0,45561.0,102446.0,162110.0,102.0,932.0,214.22,4396.6,11165.28,11160.64,11180.95,11169.13,11147.26,11156.76,11158.78,11158.14,11152.93,11143.1,11103.26,11107.61,1354.03,1354.28,1355.63,1354.26,1353.14,1353.29,1353.25,1353.51,1351.28,1351.22,1348.08,1348.54
