1007-0102
CN7,4G,1,1,1,889,1090,1237,1860,1216,1488,1410.20,1488,19.91,19.79,19.72,6198.59,2.24,2.25,2.24,689.84
CN7,4G,1,1,2,881,1090,1614,2180,1404,1471,1424.60,1500,5903.91,19.79,19.72,19.59,681.72,2.25,2.24,2.23
CN7,4G,1,1,3,840,1090,1483,1811,1368,1496,1430.80,1506,19.91,5943.29,19.72,19.59,2.24,682.24,2.24,2.23
CN7,4G,1,1,4,832,1074,1205,1991,1360,1466,1402.40,1474,19.91,19.79,6508.38,19.59,2.24,2.25,690.66,2.23
CN7,4G,1,1,5,881,1106,1500,1876,1328,1490,1414.60,1493,19.91,19.79,19.72,6136.93,2.24,2.25,2.24,684.19
CN7,4G,1,4,1,914,1074,1205,1926,1290,1486,1389.20,1472,1623.25,1676.79,1715.05,1650.43,166.29,168.91,167.83,165.68
CN7,4G,1,4,2,857,1037,1205,1893,1316,1498,1421.60,1499,1646.25,1612.13,1653.72,1668.26,166.46,165.45,166.01,166.52
CN7,4G,1,4,3,840,1020,1221,2114,1182,1514,1424.80,1503,1628.08,1603.8,1669.72,1652.26,164.82,164.51,165.87,167.01
CN7,4G,1,4,4,758,988,1188,2147,1298,1488,1444.00,1517,1640.08,1641.63,1599.72,1633.93,165.93,164.89,164.08,165.71
CN7,4G,1,4,5,865,1057,1205,2573,1248,1492,1418.00,1498,1574.58,1621.3,1626.89,1602.76,163.28,164.64,165.39,164.72
CN7,4G,1,16,1,816,1057,1795,2671,1272,1482,1413.60,1486,1794.59,1763.8,1777.06,1743.93,173.58,172.67,172.69,173.59
CN7,4G,1,16,2,799,1029,1762,2376,1304,1570,1460.80,1536,1690.59,1687.8,1730.39,1755.6,173.48,172.89,174.45,174.76
CN7,4G,1,16,3,750,971,1827,1975,1378,1496,1446.80,1521,1669.25,1675.47,1726.89,1722.77,172.61,171.65,172.01,172.91
CN7,4G,1,16,4,865,1090,1876,2114,1220,1520,1418.40,1490,2035.9,2049.16,2066.67,2084.12,208.02,207.05,206.75,209.46
CN7,4G,1,16,5,873,1074,1811,2024,1284,1484,1398.80,1484,2028.1,2075.16,2141.47,2020.12,206.29,206.74,207.43,207.24
CN7,4G,2,1,1,791,988,1156,1844,1262,1486,1399.80,2929,19.92,19.8,6455.39,6355.27,2.24,2.25,683.07,692.03
CN7,4G,2,1,2,799,1012,1221,1827,1286,1424,1391.60,2923,6101.09,6157.97,19.73,19.61,689.15,681.86,2.24,2.23
CN7,4G,2,1,3,816,1004,1205,1975,1262,1468,1392.80,2917,19.93,19.8,6445.9,6404.61,2.25,2.25,683.96,682.5
CN7,4G,2,1,4,816,1004,1221,1860,1259,1408,1362.80,2869,6214.26,6269.81,19.73,19.61,681.77,689.46,2.24,2.23
