,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
71,CN7,16G,8,24,5554.0,7487.0,50233.0,238027.0,137.0,676.0,242.79,2035.75
72,CN7,32G,1,1,733.0,868.0,1701.0,2822.0,1306.0,1517.0,1459.59,1531.0
73,CN7,32G,1,2,730.0,899.0,1627.0,2939.0,1316.0,1500.0,1459.46,1530.8
74,CN7,32G,1,4,710.0,868.0,1639.0,3157.0,1311.0,1508.0,1471.71,1543.4
75,CN7,32G,1,8,725.0,912.0,1930.0,4260.0,1282.0,1524.0,1461.11,1532.6
76,CN7,32G,1,12,735.0,894.0,2017.0,3520.0,1335.0,1504.0,1455.46,1526.4
77,CN7,32G,1,24,727.0,905.0,2137.0,4034.0,1312.0,1531.0,1470.5,1542.0
78,CN7,32G,2,1,1670.0,2323.0,8172.0,21260.0,666.0,1371.0,969.8,2020.2
79,CN7,32G,2,2,1572.0,2110.0,7124.0,21994.0,710.0,1372.0,993.36,2052.0
80,CN7,32G,2,4,1637.0,2176.0,6403.0,22151.0,686.0,1416.0,979.49,2031.8
81,CN7,32G,2,8,1669.0,2159.0,5312.0,23934.0,669.0,1408.0,967.91,2020.2
82,CN7,32G,2,12,1584.0,2115.0,6580.0,23462.0,696.0,1431.0,1000.42,2067.6
83,CN7,32G,2,24,1588.0,2161.0,7589.0,22151.0,698.0,1376.0,999.15,2069.0
84,CN7,32G,4,1,3044.0,4139.0,20578.0,145123.0,320.0,1129.0,488.33,2044.0
85,CN7,32G,4,2,2998.0,4326.0,22545.0,209191.0,298.0,1100.0,488.1,2042.5
86,CN7,32G,4,4,3130.0,4103.0,21050.0,128241.0,310.0,1164.0,481.39,2018.4
87,CN7,32G,4,8,3151.0,4713.0,23549.0,173015.0,275.0,1179.0,482.86,2021.0
88,CN7,32G,4,12,3188.0,4699.0,21732.0,145962.0,312.0,1136.0,483.33,2025.4
89,CN7,32G,4,24,3080.0,3981.0,19726.0,117047.0,297.0,1245.0,490.22,2053.0
90,CN7,32G,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,CN7,32G,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,CN7,32G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,CN7,32G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,CN7,32G,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,CN7,32G,8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
