0621-2202
CN10,4G,1,1,1,889,1037,1237,2933,1334,1462,1394.40,1471,299.31,6174.05,6216.19,251.37,34.41,713.39,714.29,28.63,6049.49,5932.55,42.32,43.13,689.97,684.24,4.67,4.75
CN10,4G,1,1,2,922,1106,1303,4228,1242,1442,1368.80,1447,6189.31,268.56,269.19,6168.53,715.96,28.97,28.99,713.93,43.99,59.05,5901.66,5919.8,4.75,4.9,689.6,689.82
CN10,4G,1,1,3,881,1090,1467,8586,1238,1478,1405.20,1483,268.83,5212.76,5237.16,228.31,29.52,611.25,611.59,24.56,5041.57,4946.75,36.28,50.12,590.41,590.2,4.0,4.09
CN10,4G,1,1,4,881,1074,1418,1926,1272,1548,1421.60,1499,6165.63,254.05,253.85,6156.53,715.82,28.94,28.96,713.14,44.0,45.05,5958.33,5948.97,4.75,4.88,690.3,689.25
CN10,4G,1,1,5,881,1106,1352,1696,1322,1452,1392.80,1467,256.54,5217.04,5264.3,215.45,29.49,603.83,608.51,24.54,5086.85,5065.61,36.28,36.98,591.72,590.44,4.0,4.07
CN10,4G,1,2,1,881,1045,1205,4817,1314,1466,1397.20,1479,2948.39,2894.9,2940.01,2857.73,323.79,317.51,318.68,318.27,52.14,2731.19,5066.0,2708.12,4.1,297.7,590.85,296.45
CN10,4G,1,2,2,906,1090,1287,50594,1174,1456,1356.40,1441,3487.12,271.04,3367.85,6294.85,377.89,28.97,370.56,716.02,3111.83,3260.88,3146.66,3168.97,345.97,351.91,345.55,346.11
CN10,4G,1,2,3,873,1045,1450,5014,1352,1438,1408.00,1479,2926.39,2935.32,2923.15,2878.16,323.48,318.19,319.47,317.65,2673.0,38.62,2740.0,5116.26,296.58,4.18,298.6,587.36
CN10,4G,1,2,4,832,988,1172,1844,1356,1478,1417.60,1495,5366.1,2894.03,232.15,2867.3,612.82,318.41,24.85,317.4,2648.0,2698.76,2650.29,2738.41,296.16,296.63,292.42,297.9
CN10,4G,1,2,5,848,1057,1156,1795,1364,1460,1398.80,1473,2975.24,2897.31,2867.0,2826.02,324.52,318.12,317.97,316.31,4971.29,2770.33,57.86,2783.98,590.76,299.77,4.42,301.53
CN10,4G,1,4,1,922,1090,1549,1860,1226,1450,1368.80,1452,3435.95,4906.2,3413.17,1733.18,374.93,542.38,369.17,189.8,3179.0,4716.39,3217.5,1500.98,344.34,518.84,348.4,166.06
CN10,4G,1,4,2,889,1045,1582,43779,1212,1448,1346.40,1435,1749.94,3356.7,4919.34,3297.85,194.81,368.8,540.77,367.76,1525.67,3166.56,4764.0,3085.98,166.57,345.54,517.81,337.76
CN10,4G,1,4,3,873,1037,1762,21365,1280,1462,1367.20,1446,2886.09,1478.17,2883.72,4243.44,320.39,163.18,316.5,464.95,2693.86,1285.19,2668.29,4045.98,295.35,142.86,294.69,442.98
CN10,4G,1,4,4,881,1057,1795,44827,1270,1434,1368.40,1446,5030.27,3364.86,1721.16,3344.84,550.61,368.29,190.95,367.53,4709.84,3141.22,1500.34,3190.32,517.55,345.0,165.33,346.2
CN10,4G,1,4,5,881,1037,1745,4555,1290,1494,1387.20,1464,2951.66,4258.16,2874.57,1583.01,323.75,463.02,315.58,171.68,2694.15,4021.77,2733.43,1378.7,294.85,442.66,296.2,151.0
CN10,4G,1,8,1,816,1037,2212,10945,1322,1494,1412.20,1486,2946.51,2936.02,2930.42,2886.15,322.34,314.76,317.76,314.86,2735.18,2741.07,2715.77,2743.34,297.0,297.52,294.98,296.9
CN10,4G,1,8,2,865,1045,1713,1893,1300,1420,1374.00,1445,3426.59,3395.36,3297.49,3360.5,375.53,369.69,367.56,369.49,3220.84,3230.23,3189.84,3187.65,347.74,347.98,346.53,347.84
CN10,4G,1,8,3,799,979,1729,1778,1332,1482,1406.00,1486,2919.51,2906.59,2834.85,2858.43,321.32,314.99,316.88,316.2,2685.87,2743.63,2731.15,2697.42,296.09,297.42,296.87,296.82
CN10,4G,1,8,4,922,1045,1745,3654,1252,1462,1372.40,1453,2900.93,2892.3,2792.99,2877.86,319.52,313.81,313.67,314.32,2666.44,2698.63,2693.15,2682.13,293.36,296.08,293.59,292.34
CN10,4G,1,8,5,824,1020,1745,1926,1316,1456,1390.40,1469,2917.65,2916.87,2866.99,2867.0,320.81,315.58,316.13,316.53,2684.15,2705.34,2726.44,2704.13,295.11,296.59,296.04,297.08
CN10,4G,1,12,1,881,1045,1713,1844,1258,1456,1386.40,1460,3428.58,3448.35,3356.82,3352.66,375.36,370.58,367.51,367.29,3692.18,3644.4,2588.68,2558.32,398.82,398.94,282.08,279.85
CN10,4G,1,12,2,807,1012,1729,1975,1241,1496,1431.00,1504,2923.93,2889.15,2869.98,2885.14,320.82,314.28,314.82,316.01,2282.01,2258.63,3109.58,3111.71,249.49,248.67,340.45,340.28
CN10,4G,1,12,3,922,1090,1795,2278,1278,1432,1368.00,1445,3362.08,3378.01,3390.98,3297.16,370.21,368.82,368.7,362.65,3610.51,3726.9,2612.85,2651.49,397.95,401.9,284.08,286.96
CN10,4G,1,12,4,775,963,1795,2180,1382,1476,1433.20,1508,2935.49,2958.72,2899.12,2879.42,322.57,318.78,316.16,315.82,2286.01,2193.06,3110.3,3134.42,249.87,241.65,339.65,340.34
CN10,4G,1,12,5,873,1045,1745,1860,1244,1436,1368.80,1448,3402.57,3374.17,3391.31,3372.49,373.5,368.46,369.48,367.67,3654.35,3629.24,2665.35,2552.66,397.35,398.85,290.86,280.71
CN10,4G,1,24,1,766,988,1811,1860,1344,1520,1427.20,1502,2933.06,2822.15,2826.26,2871.85,317.61,311.71,311.29,311.84,2711.87,2666.92,2665.3,2717.42,290.78,292.4,289.87,291.41
CN10,4G,1,24,2,742,873,1795,2212,1410,1472,1453.60,1524,2946.91,2855.72,2874.83,2904.27,320.54,313.91,313.13,313.05,2745.73,2675.92,2685.44,2716.14,292.52,291.83,291.67,293.42
CN10,4G,1,24,3,865,1074,1745,1778,1246,1436,1377.40,1456,2898.62,2825.29,2858.55,2916.7,316.88,311.56,311.76,313.2,2739.45,2649.78,2782.59,2750.14,292.29,293.31,298.16,294.73
CN10,4G,1,24,4,766,996,1696,3195,1360,1498,1461.20,1517,2935.05,2917.0,2869.4,2892.98,322.54,317.66,316.55,315.68,2759.31,2698.64,2790.45,2720.85,295.79,296.35,297.49,296.05
CN10,4G,1,24,5,906,1090,1729,1844,1218,1436,1352.20,1435,2895.91,2884.0,2843.83,2910.12,318.52,311.25,312.48,312.7,2702.65,2705.13,2693.66,2665.73,290.65,292.62,290.25,290.55
CN10,4G,2,1,1,840,1037,1516,2212,1326,1446,1408.40,2946,6034.55,6079.33,6017.63,6114.14,714.1,713.64,713.06,713.6,5854.57,5946.34,5693.39,5903.85,691.15,688.46,685.98,686.81
