,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
0,CN7,4G,1,1,899.0,1050.0,1332.0,3324.0,1315.0,1459.0,1387.84,1466.0,2635.92,3425.29,3448.14,2604.04,305.04,397.28,398.47,300.96,3253.18,3209.8,2394.97,2399.8,376.32,374.93,278.51,278.4
1,CN7,4G,1,2,851.0,1023.0,1175.0,1902.0,1314.0,1450.0,1390.44,1467.0,3540.65,2378.52,2466.03,3544.81,392.5,260.24,270.31,397.13,2691.25,2299.96,2732.16,3303.15,306.71,250.04,306.37,365.87
2,CN7,4G,1,4,873.0,1025.0,1218.0,1951.0,1314.0,1469.0,1401.04,1476.0,3210.78,3472.82,3162.39,2840.46,352.9,381.13,346.59,312.34,2960.5,3266.23,2976.71,2640.39,323.73,358.98,324.49,288.8
3,CN7,4G,1,8,863.0,1031.0,1712.0,1909.0,1290.0,1486.0,1411.88,1488.0,3022.24,3009.43,2944.55,2969.99,331.9,325.77,326.4,326.28,2798.5,2823.78,2811.27,2802.93,305.86,307.12,305.6,306.2
4,CN7,4G,1,12,876.0,1045.0,1735.0,1940.0,1283.0,1453.0,1384.58,1459.0,3210.53,3209.68,3181.64,3157.37,352.49,348.18,347.33,345.89,3105.01,3090.45,2817.35,2801.72,338.7,338.0,307.42,305.63
5,CN7,4G,1,24,889.0,1092.0,1752.0,1919.0,1294.0,1447.0,1377.39,1457.0,2921.91,2860.83,2854.57,2899.18,319.22,313.22,313.04,313.29,2731.8,2679.28,2723.49,2714.06,292.41,293.3,293.49,293.23
6,CN7,4G,2,1,830.0,1000.0,1535.0,2474.0,1284.0,1451.0,1393.15,2888.4,5644.88,5627.3,5666.3,5735.74,656.8,650.78,649.18,653.35,5377.91,5403.82,5447.87,5399.73,631.92,627.17,630.72,628.56
7,CN7,4G,2,2,817.0,971.0,1224.0,2110.0,1318.0,1447.0,1415.28,2943.4,5652.93,5235.18,4737.58,5255.42,673.44,610.3,548.06,609.02,5429.83,5034.21,4597.58,4950.88,648.38,590.93,531.1,589.57
8,CN7,4G,2,4,884.0,1066.0,1588.0,2030.0,1313.0,1420.0,1376.88,2873.0,5549.01,6022.71,5981.13,5550.47,641.45,704.88,701.27,638.13,5339.16,5813.77,5764.76,5300.5,615.0,683.65,679.87,612.88
9,CN7,4G,2,8,982.0,1230.0,1738.0,2092.0,1287.0,1381.0,1330.0,2775.8,5588.19,5568.41,5477.56,5628.1,654.65,635.29,634.02,652.66,5500.21,5537.04,5338.62,5408.96,646.03,648.13,628.5,630.45
10,CN7,4G,2,12,953.0,1214.0,1712.0,2005.0,1293.0,1397.0,1351.54,2817.8,5951.47,5940.29,5914.02,5932.25,695.43,691.69,690.43,692.39,5707.86,5720.8,5675.56,5777.19,672.46,668.29,670.22,671.59
11,CN7,4G,2,24,951.0,1296.0,1788.0,2122.0,1268.0,1374.0,1338.55,2796.8,6091.97,5990.7,6146.37,5979.28,701.14,686.3,707.74,693.88,5603.76,5612.97,5534.11,5559.34,652.63,649.86,646.77,649.7
12,CN7,4G,4,1,2834.0,5577.0,9844.0,27578.0,625.0,1494.0,1010.55,4052.6,8474.61,8274.76,8239.12,8272.79,985.63,978.08,958.21,977.95,7957.17,8111.24,7802.76,8106.03,945.59,941.59,930.58,943.22
13,CN7,4G,4,2,1709.0,8579.0,14510.0,21011.0,444.0,1506.0,1016.05,3411.0,8273.0,7883.95,7532.62,8306.61,982.21,888.28,886.87,980.5,7770.98,7205.96,7087.03,7699.74,925.57,836.7,825.14,924.06
