,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,906.0,1103.0,1440.0,2038.0,1301.0,1485.0,1413.16,1493.6,5349.08,5270.73,5486.6,5279.76,631.3,626.66,627.93,624.73
1,CN7,4G,1,2,895.0,1099.0,1509.0,1958.0,1320.0,1493.0,1418.04,1492.2,5817.69,5817.57,5920.18,5868.97,692.08,687.54,688.24,685.51
2,CN7,4G,1,4,894.0,1081.0,1660.0,1963.0,1302.0,1476.0,1410.12,1489.2,5504.02,5464.56,5521.02,5463.26,654.31,645.86,648.67,646.97
3,CN7,4G,1,8,901.0,1077.0,1561.0,2012.0,1281.0,1488.0,1407.8,1489.0,5483.63,5493.69,5495.23,5514.69,651.59,647.36,647.86,647.85
4,CN7,4G,1,12,914.0,1188.0,1745.0,2064.0,1338.0,1488.0,1413.4,1492.8,5169.14,5152.86,5206.14,5136.28,610.54,608.26,608.21,606.56
5,CN7,4G,1,24,871.0,1080.0,1591.0,1894.0,1332.0,1504.0,1432.64,1505.2,5572.44,5531.49,5536.93,5510.68,655.5,649.92,646.68,648.0
6,CN7,4G,2,1,2658.0,5341.0,10342.0,26228.0,671.0,1529.0,1023.8,2106.2,8816.19,8782.56,8890.65,8887.54,1058.5,1053.45,1054.25,1060.5
7,CN7,4G,2,2,828.0,997.0,1280.0,1850.0,1340.0,1527.0,1449.64,2962.4,8454.42,8527.31,8686.16,8546.33,1014.25,1026.43,1034.62,1029.3
8,CN7,4G,2,4,962.0,1240.0,1659.0,2042.0,1279.0,1454.0,1387.21,2841.6,8296.23,8687.19,8674.71,8667.78,1002.02,1045.97,1038.07,1043.53
9,CN7,4G,2,8,969.0,1234.0,1670.0,2097.0,1283.0,1455.0,1386.87,2844.4,8511.38,8605.86,8408.62,8670.4,1017.61,1029.57,1007.34,1038.56
10,CN7,4G,2,12,958.0,1230.0,1643.0,1909.0,1278.0,1459.0,1386.9,2844.6,8798.11,8810.76,8620.92,8770.37,1055.35,1055.95,1034.97,1057.21
11,CN7,4G,2,24,971.0,1273.0,1722.0,2124.0,1292.0,1452.0,1386.68,2843.4,8512.58,8471.84,8388.41,8643.56,1017.21,1011.4,1003.7,1028.86
12,CN7,4G,4,1,7832.0,14772.0,24196.0,62705.0,304.0,1454.0,521.76,2140.8,9753.19,9967.18,9725.6,10063.5,1165.19,1193.52,1181.25,1201.37
13,CN7,4G,4,2,8690.0,14955.0,24930.0,45456.0,151.0,1389.0,483.5,1792.2,9654.1,9683.34,9730.02,9734.92,1172.17,1171.19,1171.88,1170.87
14,CN7,4G,4,4,8821.0,16725.0,27342.0,43123.0,303.0,1400.0,529.59,2186.4,9956.99,10153.86,10066.56,10090.31,1208.44,1225.02,1219.33,1221.87
15,CN7,4G,4,8,8933.0,16659.0,28443.0,40029.0,303.0,1403.0,529.1,2168.8,9730.4,9772.62,9988.96,9828.98,1188.18,1188.75,1203.75,1194.94
16,CN7,4G,4,12,9083.0,17262.0,27814.0,46242.0,301.0,1405.0,525.14,2169.0,9694.52,10010.61,9763.33,9941.35,1179.25,1210.23,1184.4,1208.71
17,CN7,4G,4,24,8671.0,16581.0,24668.0,44433.0,311.0,1383.0,538.21,2216.2,9892.73,9955.67,9805.72,9961.26,1203.89,1208.44,1191.48,1210.85
