,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
0,CN8,4G,1,1,863.0,1049.0,1522.0,6570.0,1320.0,1466.0,1404.88,1482.0,2635.92,3425.29,3448.14,2604.04,305.04,397.28,398.47,300.96,3253.18,3209.8,2394.97,2399.8,376.32,374.93,278.51,278.4
1,CN8,4G,1,2,855.0,1037.0,1178.0,18162.0,1263.0,1437.0,1380.03,1454.8,3540.65,2378.52,2466.03,3544.81,392.5,260.24,270.31,397.13,2691.25,2299.96,2732.16,3303.15,306.71,250.04,306.37,365.87
2,CN8,4G,1,4,882.0,1044.0,1372.0,6985.0,1268.0,1474.0,1384.08,1456.6,3210.78,3472.82,3162.39,2840.46,352.9,381.13,346.59,312.34,2960.5,3266.23,2976.71,2640.39,323.73,358.98,324.49,288.8
3,CN8,4G,1,8,868.0,1067.0,1852.0,5718.0,1297.0,1463.0,1386.48,1465.4,3022.24,3009.43,2944.55,2969.99,331.9,325.77,326.4,326.28,2798.5,2823.78,2811.27,2802.93,305.86,307.12,305.6,306.2
4,CN8,4G,1,12,847.0,1054.0,1791.0,2810.0,1292.0,1444.0,1393.44,1469.2,3210.53,3209.68,3181.64,3157.37,352.49,348.18,347.33,345.89,3105.01,3090.45,2817.35,2801.72,338.7,338.0,307.42,305.63
5,CN8,4G,1,24,869.0,1102.0,1739.0,2205.0,1296.0,1476.0,1389.28,1465.6,2921.91,2860.83,2854.57,2899.18,319.22,313.22,313.04,313.29,2731.8,2679.28,2723.49,2714.06,292.41,293.3,293.49,293.23
6,CN8,4G,2,1,833.0,1014.0,1368.0,8281.0,1294.0,1432.0,1385.37,2876.6,5644.88,5627.3,5666.3,5735.74,656.8,650.78,649.18,653.35,5377.91,5403.82,5447.87,5399.73,631.92,627.17,630.72,628.56
7,CN8,4G,2,2,835.0,1016.0,1614.0,49762.0,1210.0,1450.0,1377.77,2857.2,5652.93,5235.18,4737.58,5255.42,673.44,610.3,548.06,609.02,5429.83,5034.21,4597.58,4950.88,648.38,590.93,531.1,589.57
8,CN8,4G,2,4,902.0,1086.0,1601.0,3184.0,1270.0,1394.0,1345.6,2798.8,5549.01,6022.71,5981.13,5550.47,641.45,704.88,701.27,638.13,5339.16,5813.77,5764.76,5300.5,615.0,683.65,679.87,612.88
9,CN8,4G,2,8,994.0,1240.0,1966.0,4255.0,1230.0,1357.0,1308.17,2734.4,5588.19,5568.41,5477.56,5628.1,654.65,635.29,634.02,652.66,5500.21,5537.04,5338.62,5408.96,646.03,648.13,628.5,630.45
10,CN8,4G,2,12,956.0,1198.0,1755.0,2657.0,1257.0,1374.0,1325.28,2764.6,5951.47,5940.29,5914.02,5932.25,695.43,691.69,690.43,692.39,5707.86,5720.8,5675.56,5777.19,672.46,668.29,670.22,671.59
