,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN8,4G,1,1,881.0,1118.0,1686.0,5007.0,1325.0,1496.0,1415.6,1493.4,5349.08,5270.73,5486.6,5279.76,631.3,626.66,627.93,624.73
1,CN8,4G,1,2,881.0,1077.0,1486.0,1966.0,1320.0,1494.0,1416.92,1494.8,5817.69,5817.57,5920.18,5868.97,692.08,687.54,688.24,685.51
2,CN8,4G,1,4,869.0,1068.0,1555.0,2681.0,1330.0,1477.0,1413.6,1491.8,5504.02,5464.56,5521.02,5463.26,654.31,645.86,648.67,646.97
3,CN8,4G,1,8,878.0,1091.0,1437.0,2350.0,1342.0,1490.0,1416.56,1493.8,5483.63,5493.69,5495.23,5514.69,651.59,647.36,647.86,647.85
4,CN8,4G,1,12,887.0,1104.0,1673.0,2597.0,1309.0,1494.0,1410.84,1486.8,5169.14,5152.86,5206.14,5136.28,610.54,608.26,608.21,606.56
5,CN8,4G,1,24,869.0,1064.0,1562.0,2615.0,1310.0,1501.0,1423.88,1500.8,5572.44,5531.49,5536.93,5510.68,655.5,649.92,646.68,648.0
6,CN8,4G,2,1,2697.0,5145.0,10735.0,43503.0,676.0,1501.0,996.79,2052.0,8816.19,8782.56,8890.65,8887.54,1058.5,1053.45,1054.25,1060.5
7,CN8,4G,2,2,1403.0,2386.0,4422.0,8504.0,1161.0,1504.0,1328.84,2744.4,8454.42,8527.31,8686.16,8546.33,1014.25,1026.43,1034.62,1029.3
8,CN8,4G,2,4,963.0,1204.0,1669.0,3031.0,1293.0,1441.0,1373.57,2842.4,8296.23,8687.19,8674.71,8667.78,1002.02,1045.97,1038.07,1043.53
9,CN8,4G,2,8,972.0,1240.0,1673.0,2636.0,1298.0,1436.0,1370.57,2831.6,8511.38,8605.86,8408.62,8670.4,1017.61,1029.57,1007.34,1038.56
10,CN8,4G,2,12,968.0,1234.0,1692.0,2515.0,1283.0,1449.0,1381.86,2839.4,8798.11,8810.76,8620.92,8770.37,1055.35,1055.95,1034.97,1057.21
11,CN8,4G,2,24,976.0,1257.0,1725.0,3970.0,1281.0,1430.0,1370.95,2831.6,8512.58,8471.84,8388.41,8643.56,1017.21,1011.4,1003.7,1028.86
12,CN8,4G,4,1,7832.0,13802.0,21260.0,43726.0,278.0,1481.0,495.85,1916.0,9753.19,9967.18,9725.6,10063.5,1165.19,1193.52,1181.25,1201.37
13,CN8,4G,4,2,8481.0,14169.0,21260.0,36255.0,214.0,1406.0,490.85,1907.6,9654.1,9683.34,9730.02,9734.92,1172.17,1171.19,1171.88,1170.87
14,CN8,4G,4,4,9241.0,16568.0,25743.0,38876.0,301.0,1391.0,498.55,2068.8,9956.99,10153.86,10066.56,10090.31,1208.44,1225.02,1219.33,1221.87
15,CN8,4G,4,8,9424.0,16725.0,28050.0,50751.0,300.0,1377.0,496.47,2050.6,9730.4,9772.62,9988.96,9828.98,1188.18,1188.75,1203.75,1194.94
16,CN8,4G,4,12,9267.0,16686.0,28705.0,39269.0,300.0,1389.0,496.13,2046.4,9694.52,10010.61,9763.33,9941.35,1179.25,1210.23,1184.4,1208.71
17,CN8,4G,4,24,9241.0,16659.0,28626.0,46819.0,304.0,1390.0,494.82,2046.6,9892.73,9955.67,9805.72,9961.26,1203.89,1208.44,1191.48,1210.85
18,CN8,4G,8,1,15689.0,22256.0,36779.0,57305.0,114.0,1463.0,222.62,1613.4,10643.45,10530.42,10467.37,10703.47,1299.45,1284.03,1277.78,1291.67
19,CN8,4G,8,2,16581.0,23462.0,49021.0,78119.0,102.0,1314.0,223.64,1597.0,10389.11,10423.78,10397.54,10409.23,1271.68,1270.52,1270.46,1269.98
20,CN8,4G,8,4,20264.0,28023.0,52272.0,89234.0,138.0,1228.0,205.83,1719.6,10580.65,10545.99,10607.37,10610.36,1295.21,1293.41,1297.02,1296.37
21,CN8,4G,8,8,20316.0,28181.0,50279.0,89601.0,139.0,1215.0,205.48,1716.6,10567.96,10459.47,10583.2,10521.37,1289.58,1282.19,1292.98,1289.05
22,CN8,4G,8,12,20107.0,27289.0,48916.0,77857.0,142.0,1233.0,207.82,1735.0,10697.42,10587.84,10604.57,10616.7,1305.87,1292.36,1298.17,1296.99
23,CN8,4G,8,24,20526.0,28076.0,57357.0,95473.0,130.0,1256.0,204.22,1701.4,10525.36,10472.2,10468.76,10583.06,1285.63,1281.67,1280.37,1293.06
24,CN8,4G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,CN8,4G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,CN8,4G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CN8,4G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,CN8,4G,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,CN8,4G,16,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,CN8,8G,1,1,817.0,1064.0,1752.0,18478.0,1236.0,1482.0,1412.31,1482.2,7471.2,7300.75,7365.62,7259.19,861.76,856.61,858.22,854.69
31,CN8,8G,1,2,859.0,1073.0,1981.0,17357.0,1245.0,1490.0,1402.96,1471.4,7940.25,6568.45,6546.5,7924.33,949.09,763.22,762.45,946.95
32,CN8,8G,1,4,879.0,1102.0,1532.0,8428.0,1283.0,1477.0,1406.11,1478.0,7357.78,7369.78,7341.14,7365.67,878.96,875.04,876.19,875.77
33,CN8,8G,1,8,850.0,1057.0,1551.0,2710.0,1299.0,1493.0,1415.58,1486.6,7402.8,7365.48,7333.42,7403.54,880.05,874.39,875.64,875.69
34,CN8,8G,1,12,846.0,1053.0,1447.0,2989.0,1287.0,1502.0,1427.66,1498.6,7621.53,7572.84,7513.43,7441.45,897.39,893.5,894.93,892.49
35,CN8,8G,1,24,851.0,1045.0,1496.0,3149.0,1322.0,1476.0,1423.07,1492.4,7570.84,7542.93,7529.69,7495.44,898.77,892.77,894.84,893.71
36,CN8,8G,2,1,3313.0,5682.0,11233.0,38745.0,654.0,1486.0,842.6,1747.8,9738.37,9794.05,9780.8,9808.67,1186.91,1185.56,1185.79,1185.51
