,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
98,CN9,32G,2,4,1105.0,1466.0,2428.0,5433.0,761.0,1430.0,1264.67,2612.2,9842.11,9810.95,9222.9,9200.3,1164.78,1163.76,1060.68,1060.4,9619.07,9017.89,8957.62,9617.99,1135.98,1035.34,1035.06,1134.98
99,CN9,32G,2,8,1119.0,1784.0,2115.0,2310.0,616.0,1445.0,1267.25,2628.6,9452.68,9396.21,9261.63,9460.87,1100.75,1099.09,1073.25,1100.44,9356.09,9321.64,9388.1,9505.7,1087.84,1087.44,1088.53,1113.53
100,CN9,32G,2,12,1155.0,1601.0,1963.0,3152.0,717.0,1408.0,1256.5,2615.4,9582.41,9528.35,9586.52,9448.63,1109.54,1107.83,1126.22,1090.51,9437.92,9409.47,9420.76,9341.6,1111.64,1095.05,1094.9,1077.2
101,CN9,32G,2,24,1224.0,1778.0,2764.0,4476.0,694.0,1425.0,1250.81,2597.8,9633.39,9514.8,9525.0,9543.13,1126.14,1116.42,1108.66,1124.42,9386.36,9357.51,9294.8,9346.07,1089.5,1097.1,1096.07,1095.82
102,CN9,32G,4,1,4216.0,8553.0,21299.0,57672.0,336.0,1478.0,667.25,2715.67,12230.92,9610.0,7081.14,10927.22,1464.34,1150.22,828.68,1307.55,12136.59,10888.17,6877.86,7031.53,1453.26,1298.27,821.03,822.61
103,CN9,32G,4,2,6390.0,11382.0,30059.0,83012.0,226.0,1368.0,501.14,1957.67,11509.68,12622.41,33.81,11627.05,1411.83,1543.14,2.59,1416.22,5133.29,10021.6,7636.62,14.63,634.18,1200.56,918.08,0.56
104,CN9,32G,4,4,5708.0,10289.0,22440.0,47343.0,404.0,1367.0,668.4,2651.8,8879.66,8179.75,10875.36,10218.29,1022.19,967.34,1287.64,1191.41,10980.64,10044.63,9267.44,9778.22,1313.09,1196.9,1091.21,1109.85
105,CN9,32G,4,8,5210.0,13330.0,22781.0,35442.0,528.0,1416.0,718.01,2954.6,10799.24,10659.4,10657.28,10811.28,1298.39,1292.89,1289.14,1308.61,10677.98,10761.75,10653.96,10611.93,1273.56,1298.39,1283.2,1269.48
106,CN9,32G,4,12,5525.0,13199.0,23200.0,41786.0,494.0,1412.0,702.69,2885.8,10510.94,10533.74,10529.72,10433.89,1268.53,1276.2,1268.06,1249.83,10434.63,10451.26,10361.7,10518.66,1255.49,1257.66,1246.91,1272.65
107,CN9,32G,4,24,5551.0,14379.0,24720.0,39479.0,483.0,1418.0,690.82,2831.8,10120.32,10081.48,10196.71,10246.83,1220.12,1221.85,1226.53,1230.59,10130.13,10266.08,10204.8,10186.61,1226.19,1220.18,1228.37,1218.28
