,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write
0,CN10,4G,1,1,890.0,1082.0,1355.0,3873.0,1281.0,1476.0,1396.56,1473.4,2635.92,3425.29,3448.14,2604.04,305.04,397.28,398.47,300.96,3253.18,3209.8,2394.97,2399.8,376.32,374.93,278.51,278.4
1,CN10,4G,1,2,868.0,1045.0,1254.0,12812.0,1312.0,1459.0,1395.6,1473.4,3540.65,2378.52,2466.03,3544.81,392.5,260.24,270.31,397.13,2691.25,2299.96,2732.16,3303.15,306.71,250.04,306.37,365.87
2,CN10,4G,1,4,889.0,1053.0,1686.0,23277.0,1255.0,1457.0,1367.6,1448.6,3210.78,3472.82,3162.39,2840.46,352.9,381.13,346.59,312.34,2960.5,3266.23,2976.71,2640.39,323.73,358.98,324.49,288.8
3,CN10,4G,1,8,845.0,1025.0,1828.0,4039.0,1304.0,1462.0,1391.0,1467.8,3022.24,3009.43,2944.55,2969.99,331.9,325.77,326.4,326.28,2798.5,2823.78,2811.27,2802.93,305.86,307.12,305.6,306.2
4,CN10,4G,1,12,851.0,1031.0,1755.0,2027.0,1280.0,1459.0,1397.48,1473.0,3210.53,3209.68,3181.64,3157.37,352.49,348.18,347.33,345.89,3105.01,3090.45,2817.35,2801.72,338.7,338.0,307.42,305.63
5,CN10,4G,1,24,809.0,1004.0,1755.0,2177.0,1315.0,1472.0,1414.32,1486.8,2921.91,2860.83,2854.57,2899.18,319.22,313.22,313.04,313.29,2731.8,2679.28,2723.49,2714.06,292.41,293.3,293.49,293.23
6,CN10,4G,2,1,838.0,1017.0,1312.0,3236.0,1304.0,1456.0,1397.47,2911.0,5644.88,5627.3,5666.3,5735.74,656.8,650.78,649.18,653.35,5377.91,5403.82,5447.87,5399.73,631.92,627.17,630.72,628.56
7,CN10,4G,2,2,838.0,1022.0,1358.0,18203.0,1299.0,1482.0,1407.28,2916.4,5652.93,5235.18,4737.58,5255.42,673.44,610.3,548.06,609.02,5429.83,5034.21,4597.58,4950.88,648.38,590.93,531.1,589.57
8,CN10,4G,2,4,917.0,1100.0,1634.0,3018.0,1258.0,1393.0,1344.89,2796.4,5549.01,6022.71,5981.13,5550.47,641.45,704.88,701.27,638.13,5339.16,5813.77,5764.76,5300.5,615.0,683.65,679.87,612.88
9,CN10,4G,2,8,987.0,1257.0,1812.0,2952.0,1254.0,1392.0,1328.02,2755.0,5588.19,5568.41,5477.56,5628.1,654.65,635.29,634.02,652.66,5500.21,5537.04,5338.62,5408.96,646.03,648.13,628.5,630.45
10,CN10,4G,2,12,945.0,1185.0,1820.0,4247.0,1227.0,1377.0,1324.62,2756.6,5951.47,5940.29,5914.02,5932.25,695.43,691.69,690.43,692.39,5707.86,5720.8,5675.56,5777.19,672.46,668.29,670.22,671.59
11,CN10,4G,2,24,986.0,1345.0,1979.0,5197.0,1196.0,1352.0,1288.12,2696.4,6091.97,5990.7,6146.37,5979.28,701.14,686.3,707.74,693.88,5603.76,5612.97,5534.11,5559.34,652.63,649.86,646.77,649.7
