,nodename,filesize_per_thread xfersize blocksize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G 1M 1M,1,1,900.0,1084.0,1444.0,4866.0,1298.0,1484.0,1406.13,1483.33,2229.99,222.96,845.85,2227.69,254.19,24.76,96.59,254.38
1,CN7,4G 1M 1M,1,4,895.0,1069.0,1395.0,2228.0,1283.0,1490.0,1407.67,1485.0,361.52,2426.26,2400.31,2686.17,40.16,267.97,269.31,314.6
2,CN7,4G 1M 1M,1,16,818.0,1030.0,1532.0,1994.0,1347.0,1492.0,1443.13,1518.0,2733.68,2316.77,2693.44,382.73,314.64,267.61,315.82,42.67
3,CN7,4G 1M 1M,2,1,818.0,1014.0,1314.0,1977.0,1318.0,1448.0,1394.83,2900.0,4402.1,2366.06,2312.04,4327.06,495.62,266.16,265.81,495.78
4,CN7,4G 1M 1M,2,4,802.0,1006.0,1259.0,1952.0,1302.0,1437.0,1394.47,2905.67,2335.36,4329.27,4236.08,2371.71,265.66,491.38,495.13,266.67
5,CN7,4G 1M 1M,2,16,813.0,1006.0,1406.0,1860.0,1303.0,1438.0,1391.13,2882.0,4221.78,2294.92,2322.96,4285.19,493.63,265.09,266.11,494.35
6,CN7,4G 1M 1M,4,1,791.0,974.0,1161.0,1652.0,1341.0,1509.0,1455.9,5996.0,7884.27,7906.08,7851.59,7850.83,867.36,866.12,867.21,868.87
7,CN7,4G 1M 1M,4,4,796.0,987.0,1204.0,1832.0,1302.0,1516.0,1445.37,5962.67,7920.81,7899.36,7885.34,7844.63,865.74,867.3,866.07,865.29
8,CN7,4G 1M 1M,4,16,793.0,974.0,1166.0,1696.0,1330.0,1517.0,1438.7,5985.67,6983.37,7087.7,7043.88,7032.38,764.83,769.28,769.37,771.17
9,CN7,4G 1M 1M,8,1,4620.0,6805.0,9546.0,11644.0,558.0,1364.0,688.89,5703.67,8882.67,8942.15,8967.9,8891.68,976.77,975.95,976.72,976.96
10,CN7,4G 1M 1M,8,4,4664.0,6936.0,9765.0,12299.0,545.0,1372.0,680.82,5638.33,8537.33,8636.46,8661.67,8681.14,942.46,943.88,945.46,948.22
11,CN7,4G 1M 1M,8,16,4686.0,6914.0,9896.0,12605.0,558.0,1364.0,683.34,5674.33,8547.19,8599.13,8658.05,8655.32,940.26,942.36,947.33,945.98
12,CN7,4G 1M 1M,16,1,8192.0,10726.0,13217.0,15489.0,252.0,860.0,302.62,5040.33,9484.5,9506.6,9417.08,9457.63,1031.11,1031.43,1031.02,1030.16
13,CN7,4G 1M 1M,16,4,8116.0,10595.0,13479.0,16362.0,248.0,883.0,304.22,5069.33,9445.11,9449.14,9410.69,9484.14,1031.09,1030.23,1032.65,1030.63
14,CN7,4G 1M 1M,16,16,8061.0,10639.0,13217.0,15991.0,253.0,887.0,306.32,5100.33,9466.72,9470.97,9434.89,9414.54,1032.89,1031.36,1035.15,1032.08
15,CN7,8G 1M 1M,1,1,755.0,995.0,1543.0,2223.0,1355.0,1515.0,1469.79,1541.33,254.53,3188.48,3241.12,3199.84,28.27,371.56,373.14,371.56
16,CN7,8G 1M 1M,1,4,783.0,1018.0,1668.0,2668.0,1365.0,1508.0,1459.3,1531.33,3110.13,3097.66,3287.39,253.61,370.84,370.83,372.04,28.28
17,CN7,8G 1M 1M,1,16,780.0,1025.0,1701.0,2624.0,1355.0,1520.0,1463.39,1534.33,3192.77,3151.19,249.01,3211.72,371.17,371.04,27.74,372.24
18,CN7,8G 1M 1M,2,1,785.0,955.0,1439.0,2059.0,1298.0,1454.0,1405.48,2933.33,2936.49,2781.83,5536.58,5493.81,330.91,329.22,635.85,636.53
19,CN7,8G 1M 1M,2,4,788.0,960.0,1434.0,2280.0,1314.0,1466.0,1409.91,2936.67,5505.74,5417.78,2921.07,2828.18,636.04,635.89,330.25,330.31
20,CN7,8G 1M 1M,2,16,783.0,957.0,1499.0,2354.0,1324.0,1458.0,1411.67,2939.33,2916.15,2818.3,5550.17,5404.8,330.41,328.67,635.63,635.09
21,CN7,8G 1M 1M,4,1,862.0,1846.0,4582.0,7329.0,1133.0,1502.0,1387.54,5764.33,8646.92,8601.14,8589.19,8557.94,942.69,938.78,941.05,944.19
22,CN7,8G 1M 1M,4,4,815.0,1483.0,3512.0,5735.0,1223.0,1512.0,1415.52,5874.0,8607.36,8620.92,8607.58,8550.4,941.85,940.62,942.84,941.69
