0614-2017
CN9,4G,1,1,1,947,1074,1221,7635,1278,1522,1410.00,1476
CN9,4G,1,1,2,816,1029,1614,9372,1354,1500,1447.20,1521
CN9,4G,1,1,3,906,1090,1237,7963,1232,1440,1388.80,1459
CN9,4G,1,1,4,824,1037,1418,8160,1340,1442,1409.20,1482
CN9,4G,1,1,5,857,1037,1401,7504,1254,1506,1424.80,1498
CN9,4G,1,2,1,889,1074,1254,5014,1246,1498,1410.40,1491
CN9,4G,1,2,2,832,1020,1106,5407,1322,1462,1401.20,1476
CN9,4G,1,2,3,791,1012,1123,7242,1332,1516,1452.80,1527
CN9,4G,1,2,4,898,1037,1287,11994,1310,1514,1384.80,1465
CN9,4G,1,2,5,881,1074,1188,8455,1298,1466,1412.00,1489
CN9,4G,1,4,1,799,1012,1156,1909,1320,1540,1437.60,1514
CN9,4G,1,4,2,873,1020,1205,1860,1272,1506,1411.20,1492
CN9,4G,1,4,3,898,1037,1778,6259,1295,1548,1416.20,1479
CN9,4G,1,4,4,857,1037,1729,13304,1264,1476,1398.40,1474
CN9,4G,1,4,5,906,1045,1287,1926,1280,1482,1382.00,1448
CN9,4G,1,8,1,832,1029,1729,1844,1352,1456,1417.20,1492
CN9,4G,1,8,2,857,1020,1696,1811,1326,1498,1400.00,1474
CN9,4G,1,8,3,791,979,1696,1811,1392,1544,1462.00,1534
CN9,4G,1,8,4,873,1074,1729,1893,1260,1488,1402.00,1487
CN9,4G,1,8,5,881,1037,1745,2024,1334,1474,1397.60,1474
CN9,4G,1,12,1,725,865,1696,1909,1400,1534,1482.40,1562
CN9,4G,1,12,2,881,1074,1795,1844,1324,1454,1402.80,1476
CN9,4G,1,12,3,791,1020,1680,1811,1348,1538,1452.80,1533
CN9,4G,1,12,4,840,1029,1729,1893,1296,1508,1409.40,1484
CN9,4G,1,12,5,873,1037,1745,1909,1369,1442,1397.40,1478
CN9,4G,1,24,1,758,971,1811,1942,1307,1496,1448.20,1522
CN9,4G,1,24,2,881,1037,1745,1827,1348,1482,1404.80,1485
CN9,4G,1,24,3,758,947,1696,1844,1386,1490,1466.40,1530
CN9,4G,1,24,4,824,996,1745,1893,1370,1490,1437.80,1512
CN9,4G,1,24,5,766,979,1745,1778,1399,1504,1445.00,1513
CN9,4G,2,1,1,791,988,1287,1713,1348,1462,1409.70,2953
CN9,4G,2,1,2,816,988,1139,1975,1292,1392,1367.00,2862
CN9,4G,2,1,3,807,1004,1287,2474,1262,1500,1402.00,2895
CN9,4G,2,1,4,799,1045,1827,5014,1324,1576,1479.60,3050
CN9,4G,2,1,5,799,988,1188,1811,1286,1482,1419.20,2964
CN9,4G,2,2,1,783,963,1156,5276,1344,1582,1479.80,3071
CN9,4G,2,2,2,824,971,1123,4113,1228,1430,1357.83,2838
CN9,4G,2,2,3,791,922,1090,7570,1324,1434,1392.40,2911
CN9,4G,2,2,4,783,938,1123,3326,1298,1488,1423.00,2956
CN9,4G,2,2,5,783,955,1172,7439,1374,1456,1415.80,2957
CN9,4G,2,4,1,791,963,1287,1811,1262,1478,1405.20,2914
CN9,4G,2,4,2,783,922,1139,1909,1384,1484,1430.60,2967
CN9,4G,2,4,3,824,922,1631,49021,1224,1438,1341.83,2800
CN9,4G,2,4,4,799,971,1205,1860,1274,1444,1392.40,2946
