0614-2017
CN8,4G,1,1,1,914,1090,1450,6587,1286,1464,1405.20,1468
CN8,4G,1,1,2,898,1057,1172,4359,1326,1446,1375.80,1454
CN8,4G,1,1,3,914,1090,1582,3163,1238,1506,1400.80,1481
CN8,4G,1,1,4,840,1074,1713,4359,1252,1458,1413.20,1488
CN8,4G,1,1,5,848,1037,1123,4555,1210,1460,1399.60,1476
CN8,4G,1,2,1,889,1057,1188,1926,1226,1450,1368.00,1448
CN8,4G,1,2,2,824,1029,1139,1909,1364,1448,1397.40,1473
CN8,4G,1,2,3,898,1057,1221,1876,1232,1458,1379.20,1451
CN8,4G,1,2,4,906,1037,1221,1893,1254,1416,1357.00,1435
CN8,4G,1,2,5,922,1074,1205,1876,1234,1452,1380.00,1462
CN8,4G,1,4,1,824,1020,1172,1893,1324,1442,1394.00,1468
CN8,4G,1,4,2,824,1029,1303,1926,1302,1532,1428.00,1502
CN8,4G,1,4,3,824,1037,1205,1991,1358,1470,1401.60,1483
CN8,4G,1,4,4,898,1057,1319,1844,1303,1474,1389.00,1468
CN8,4G,1,4,5,807,1020,1188,1844,1312,1482,1421.00,1498
CN8,4G,1,8,1,906,1045,1827,1909,1264,1506,1372.20,1454
CN8,4G,1,8,2,807,1012,1795,1926,1322,1460,1410.00,1486
CN8,4G,1,8,3,807,996,1762,1942,1282,1508,1416.40,1493
CN8,4G,1,8,4,816,1037,1762,1958,1302,1456,1401.80,1484
CN8,4G,1,8,5,922,1057,1795,1893,1284,1438,1362.20,1440
CN8,4G,1,12,1,807,1012,1827,1942,1289,1476,1412.20,1487
CN8,4G,1,12,2,807,1029,1778,1926,1346,1530,1417.40,1496
CN8,4G,1,12,3,742,889,1745,1844,1406,1492,1466.00,1536
CN8,4G,1,12,4,840,1020,1811,1876,1296,1488,1402.60,1476
CN8,4G,1,12,5,807,1029,1745,1991,1242,1490,1422.40,1495
CN8,4G,1,24,1,881,1045,1729,2089,1216,1452,1377.20,1459
CN8,4G,1,24,2,734,947,1811,1876,1426,1506,1481.00,1550
CN8,4G,1,24,3,873,1037,1811,2089,1240,1452,1383.60,1461
CN8,4G,1,24,4,922,1045,1778,1860,1236,1470,1397.00,1463
CN8,4G,1,24,5,816,1012,1778,1926,1308,1498,1411.80,1493
CN8,4G,2,1,1,824,1057,1795,2311,1330,1570,1458.00,2999
CN8,4G,2,1,2,799,996,1139,2024,1280,1478,1404.60,2935
