,nodename,filesize_per_thread max_pages max_flight,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
58,CN7,8G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,4034.4,4034.2
59,CN7,8G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,3931.2,3931.0
60,CN7,8G,8,16,0.0,0.0,0.0,0.0,0.0,0.0,3842.2,3841.8
61,CN7,8G,8,32,0.0,0.0,0.0,0.0,0.0,0.0,3760.0,3759.8
62,CN7,8G,8,64,0.0,0.0,0.0,0.0,0.0,0.0,3680.6,3680.0
63,CN7,8G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,5600.6,5600.4
64,CN7,8G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,5271.8,5271.6
65,CN7,8G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,4678.8,4678.2
66,CN7,8G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,4654.8,4654.8
67,CN7,8G,16,16,0.0,0.0,0.0,0.0,0.0,0.0,4633.8,4633.4
68,CN7,8G,16,32,0.0,0.0,0.0,0.0,0.0,0.0,4651.2,4651.0
69,CN7,8G,16,64,0.0,0.0,0.0,0.0,0.0,0.0,4634.0,4634.0
70,CN7,16G,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1219.17,1219.08
71,CN7,16G,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1278.13,1278.04
72,CN7,16G,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1534.87,1534.73
73,CN7,16G,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1529.18,1529.04
74,CN7,16G,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1534.82,1534.68
75,CN7,16G,1,32,0.0,0.0,0.0,0.0,0.0,0.0,1507.66,1507.5
76,CN7,16G,1,64,0.0,0.0,0.0,0.0,0.0,0.0,1499.32,1499.12
77,CN7,16G,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2216.54,2216.41
78,CN7,16G,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1937.21,1937.11
79,CN7,16G,2,4,0.0,0.0,0.0,0.0,0.0,0.0,1996.75,1996.64
80,CN7,16G,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1985.38,1985.26
81,CN7,16G,2,16,0.0,0.0,0.0,0.0,0.0,0.0,1972.32,1972.2
82,CN7,16G,2,32,0.0,0.0,0.0,0.0,0.0,0.0,1963.25,1963.12
83,CN7,16G,2,64,0.0,0.0,0.0,0.0,0.0,0.0,1910.56,1910.41
84,CN7,16G,4,1,0.0,0.0,0.0,0.0,0.0,0.0,4248.4,4248.0
85,CN7,16G,4,2,0.0,0.0,0.0,0.0,0.0,0.0,2743.79,2743.69
86,CN7,16G,4,4,0.0,0.0,0.0,0.0,0.0,0.0,2685.78,2685.68
87,CN7,16G,4,8,0.0,0.0,0.0,0.0,0.0,0.0,2675.94,2675.84
88,CN7,16G,4,16,0.0,0.0,0.0,0.0,0.0,0.0,2602.79,2602.68
89,CN7,16G,4,32,0.0,0.0,0.0,0.0,0.0,0.0,2494.94,2494.82
90,CN7,16G,4,64,0.0,0.0,0.0,0.0,0.0,0.0,2476.13,2476.0
91,CN7,16G,8,1,0.0,0.0,0.0,0.0,0.0,0.0,5494.0,5493.6
92,CN7,16G,8,2,0.0,0.0,0.0,0.0,0.0,0.0,4546.8,4546.6
93,CN7,16G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,3621.1,3620.89
94,CN7,16G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,3597.15,3597.07
95,CN7,16G,8,16,0.0,0.0,0.0,0.0,0.0,0.0,3560.85,3560.74
96,CN7,16G,8,32,0.0,0.0,0.0,0.0,0.0,0.0,3586.41,3586.29
97,CN7,16G,8,64,0.0,0.0,0.0,0.0,0.0,0.0,3555.74,3555.61
98,CN7,16G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,4983.8,4983.6
99,CN7,16G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,4933.2,4933.0
100,CN7,16G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,4532.8,4532.8
101,CN7,16G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,4514.6,4514.6
102,CN7,16G,16,16,0.0,0.0,0.0,0.0,0.0,0.0,4531.6,4531.4
103,CN7,16G,16,32,0.0,0.0,0.0,0.0,0.0,0.0,4521.6,4521.2
104,CN7,16G,16,64,0.0,0.0,0.0,0.0,0.0,0.0,4560.8,4560.4
105,CN7,32G,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1125.13,1125.09
106,CN7,32G,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1149.05,1149.01
107,CN7,32G,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1263.14,1263.09
108,CN7,32G,1,8,0.0,0.0,0.0,0.0,0.0,0.0,1285.0,1284.94
109,CN7,32G,1,16,0.0,0.0,0.0,0.0,0.0,0.0,1263.94,1263.88
110,CN7,32G,1,32,0.0,0.0,0.0,0.0,0.0,0.0,1276.77,1276.7
111,CN7,32G,1,64,0.0,0.0,0.0,0.0,0.0,0.0,1270.78,1270.7
112,CN7,32G,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2037.81,2037.75
113,CN7,32G,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2115.71,2115.65
114,CN7,32G,2,4,0.0,0.0,0.0,0.0,0.0,0.0,1624.46,1624.42
115,CN7,32G,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1620.87,1620.83
116,CN7,32G,2,16,0.0,0.0,0.0,0.0,0.0,0.0,1598.54,1598.49
117,CN7,32G,2,32,0.0,0.0,0.0,0.0,0.0,0.0,1596.79,1596.7
118,CN7,32G,2,64,0.0,0.0,0.0,0.0,0.0,0.0,1612.23,1612.17
119,CN7,32G,4,1,0.0,0.0,0.0,0.0,0.0,0.0,3973.4,3973.2
120,CN7,32G,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3067.65,3067.58
121,CN7,32G,4,4,0.0,0.0,0.0,0.0,0.0,0.0,2507.45,2507.4
122,CN7,32G,4,8,0.0,0.0,0.0,0.0,0.0,0.0,2549.9,2549.83
123,CN7,32G,4,16,0.0,0.0,0.0,0.0,0.0,0.0,2508.91,2508.85
124,CN7,32G,4,32,0.0,0.0,0.0,0.0,0.0,0.0,2464.8,2464.74
125,CN7,32G,4,64,0.0,0.0,0.0,0.0,0.0,0.0,2462.52,2462.45
126,CN7,32G,8,1,0.0,0.0,0.0,0.0,0.0,0.0,5309.8,5309.8
127,CN7,32G,8,2,0.0,0.0,0.0,0.0,0.0,0.0,3850.82,3850.8
128,CN7,32G,8,4,0.0,0.0,0.0,0.0,0.0,0.0,3513.35,3513.31
129,CN7,32G,8,8,0.0,0.0,0.0,0.0,0.0,0.0,3468.41,3468.35
130,CN7,32G,8,16,0.0,0.0,0.0,0.0,0.0,0.0,3474.65,3474.6
131,CN7,32G,8,32,0.0,0.0,0.0,0.0,0.0,0.0,3486.83,3486.78
132,CN7,32G,8,64,0.0,0.0,0.0,0.0,0.0,0.0,3496.67,3496.61
133,CN7,32G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,5097.0,5097.0
134,CN7,32G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,4733.6,4733.6
135,CN7,32G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,4436.8,4436.8
136,CN7,32G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,4475.0,4475.0
137,CN7,32G,16,16,0.0,0.0,0.0,0.0,0.0,0.0,4429.8,4429.8
138,CN7,32G,16,32,0.0,0.0,0.0,0.0,0.0,0.0,4451.2,4451.2
139,CN7,32G,16,64,0.0,0.0,0.0,0.0,0.0,0.0,4485.4,4485.4
