,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
41,CN7,16G,8,16,1598.0,10630.0,23252.0,172281.0,236.0,1411.0,856.48,6108.6,12937.4,12937.07,12937.4,13908.92,12748.25,12711.44,12711.7,13722.54,12681.55,12680.96,13651.64,13651.87,1615.34,1615.35,1615.35,1736.71,1591.83,1587.16,1587.16,1713.4,1581.16,1581.16,1702.49,1702.53
42,CN7,16G,16,1,9634.0,21627.0,39898.0,266968.0,27.0,243.0,89.01,6116.4,12194.61,14079.48,13876.03,12001.2,13204.28,11725.11,13385.99,14329.61,14271.94,12793.02,14056.04,12032.89,1522.59,1757.96,1732.55,1498.47,1648.77,1464.04,1671.36,1789.2,1780.89,1596.24,1754.05,1501.39
43,CN7,16G,16,4,10158.0,21365.0,39060.0,300732.0,0.0,0.0,0.0,5321.2,14052.04,11446.34,11457.4,11837.58,12827.69,12868.44,13618.4,11328.28,12512.8,13263.46,12512.45,10972.99,1754.54,1429.17,1430.55,1478.04,1601.68,1606.73,1700.38,1414.42,1561.43,1655.07,1561.38,1369.1
44,CN7,16G,16,16,10342.0,21784.0,40423.0,325897.0,25.0,233.0,83.27,5350.8,10279.96,14112.7,11014.91,11716.14,10613.75,12848.39,10157.3,11053.4,13361.21,10919.42,10924.92,12470.81,1283.56,1762.15,1375.33,1462.9,1325.22,1604.23,1268.22,1380.11,1667.29,1362.41,1363.17,1556.21
45,CN7,32G,1,1,792.0,922.0,1168.0,25612.0,1245.0,1598.0,1501.62,1575.0,3889.57,1875.81,3889.72,3889.69,3820.41,1876.08,3889.47,3820.08,1918.25,1917.66,3791.57,3860.75,485.67,234.21,485.65,485.69,477.02,234.26,485.65,476.98,237.35,237.31,471.37,479.98
46,CN7,32G,1,4,784.0,891.0,1152.0,25507.0,1243.0,1584.0,1502.28,1576.4,1945.38,3889.54,3889.15,3889.8,1945.41,3819.55,3819.74,1945.11,3862.28,3862.34,3860.63,1986.59,242.91,485.66,485.64,485.66,242.92,476.9,476.97,242.89,480.07,480.09,479.95,246.02
47,CN7,32G,1,16,795.0,913.0,1139.0,25612.0,1267.0,1570.0,1489.32,1561.2,3819.1,3964.34,2019.85,2020.15,3819.93,3889.42,1945.54,3819.62,3931.76,3931.61,1986.97,3791.68,476.89,494.99,252.24,252.25,477.0,485.65,242.91,476.96,488.75,488.75,246.0,471.42
48,CN7,32G,2,1,909.0,997.0,1100.0,23986.0,1153.0,1400.0,1310.81,2706.0,5193.81,5310.64,7003.26,7003.81,5137.38,5194.05,6830.46,5137.1,5231.53,5231.53,6867.04,5173.13,648.53,663.11,874.52,874.53,641.49,648.53,852.88,641.46,651.28,651.31,855.58,644.14
49,CN7,32G,2,4,896.0,981.0,1103.0,24039.0,1114.0,1444.0,1320.97,2726.2,6999.69,5140.7,5140.94,5141.04,6943.63,5141.13,5084.36,6942.91,5178.61,5178.68,5065.18,6922.53,874.05,641.93,641.92,641.93,867.01,641.95,634.85,866.97,644.68,644.69,630.58,862.61
50,CN7,32G,2,16,889.0,974.0,1083.0,24039.0,1134.0,1467.0,1338.76,2753.0,5254.29,7059.81,5193.72,5194.02,5193.23,6943.15,5137.2,5193.84,6868.07,6867.84,5118.1,5173.65,656.07,881.57,648.53,648.56,648.46,866.98,641.46,648.52,855.64,855.64,637.19,644.22
51,CN7,32G,4,1,1017.0,3529.0,12832.0,33948.0,739.0,1415.0,1152.84,4666.0,10821.66,9456.04,11003.45,11003.76,10770.47,9362.43,10952.88,10770.59,9261.09,9260.66,10757.01,10627.13,1351.25,1180.76,1373.95,1373.95,1344.91,1169.04,1367.65,1344.89,1154.64,1154.64,1341.52,1325.35
52,CN7,32G,4,4,1009.0,3182.0,11049.0,36386.0,880.0,1414.0,1166.52,4790.6,9412.5,11094.37,11142.95,11142.72,9412.44,11094.29,11143.93,9412.77,11034.5,11034.14,11130.85,9399.24,1175.27,1385.25,1391.37,1391.36,1175.35,1385.29,1391.5,1175.35,1376.03,1376.03,1388.13,1171.98
53,CN7,32G,4,16,1012.0,3457.0,11469.0,32060.0,846.0,1410.0,1158.44,4705.4,11062.5,11299.09,9654.09,9688.21,10737.34,10961.58,9420.46,10737.77,10996.28,10995.82,9454.62,10771.84,1381.28,1410.88,1205.44,1209.67,1340.72,1368.68,1176.26,1340.72,1371.26,1371.25,1178.86,1343.36
54,CN7,32G,8,1,1634.0,12767.0,22990.0,238446.0,76.0,558.0,320.82,6091.0,13271.59,13392.61,14382.82,14383.05,13214.06,13335.22,14344.43,13214.33,13218.81,13217.52,14190.15,13080.67,1657.1,1672.22,1795.86,1795.89,1649.95,1665.05,1791.12,1649.93,1649.36,1649.31,1770.71,1632.19
55,CN7,32G,8,4,1666.0,11862.0,23305.0,205731.0,143.0,1119.0,654.1,6025.0,14335.29,13267.73,13266.65,13266.74,14275.86,13227.97,13207.28,14276.01,13210.21,13209.07,13169.21,14236.91,1789.94,1656.6,1656.49,1656.5,1782.51,1651.64,1649.05,1782.51,1648.27,1648.21,1643.19,1776.58
56,CN7,32G,8,16,1719.0,11181.0,22833.0,224396.0,149.0,844.0,477.25,5973.0,13186.5,14275.53,13247.2,13247.29,13132.13,14238.67,13191.95,13131.96,14203.89,14203.19,13175.47,13096.29,1646.49,1782.44,1654.02,1654.03,1639.67,1777.89,1647.15,1639.65,1772.36,1772.34,1644.01,1634.13
57,CN7,32G,16,1,9319.0,21994.0,42205.0,366163.0,0.0,0.0,0.0,5703.8,13569.41,11272.31,14278.73,10394.75,12612.46,13703.41,12171.63,12814.24,14414.66,12349.65,13084.08,13050.31,1695.16,1407.77,1783.79,1298.15,1575.43,1711.82,1520.2,1600.64,1800.3,1541.98,1634.0,1629.71
58,CN7,32G,16,4,10447.0,20998.0,44407.0,330930.0,0.0,0.0,0.0,4720.0,11934.35,12282.29,8336.57,10473.48,12037.95,11644.34,12640.26,9884.51,13524.58,9641.73,15034.3,7655.51,1490.92,1534.46,1041.12,1308.42,1503.74,1454.72,1579.08,1234.66,1689.26,1203.7,1878.11,955.58
59,CN7,32G,16,16,9424.0,21050.0,43569.0,350225.0,0.0,0.0,0.0,5375.2,13266.79,10809.21,12071.26,12675.2,13323.34,12560.2,8791.86,12919.71,11330.41,13012.57,12788.27,12799.39,1657.59,1350.04,1507.82,1583.41,1664.58,1569.05,1098.18,1613.84,1414.89,1625.35,1597.17,1598.27
