,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
60,PM1,8G,8,16,6177.0,16368.0,167576.0,1047528.0,808.0,4201.0,2063.07,2106.5,14725.67,46.47,46.4,46.22,1809.12,5.34,5.34,5.31
61,PM1,8G,8,32,7032.0,16764.0,63753.0,127087.0,1238.0,4439.0,2117.89,2220.6,15394.66,48.75,48.69,48.5,1896.06,5.61,5.61,5.58
62,PM1,8G,8,64,7451.0,16974.0,133484.0,720162.0,1077.0,3946.0,2042.98,2106.4,14927.57,46.12,46.05,45.87,1806.57,5.3,5.3,5.28
63,PM1,8G,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,PM1,8G,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,PM1,8G,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,PM1,8G,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,PM1,8G,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,PM1,8G,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,PM1,8G,16,64,13304.0,28705.0,87557.0,683672.0,577.0,4814.0,2073.14,2150.0,16231.35,24.81,24.77,24.68,1947.41,2.85,2.85,2.84
