,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
54,CN11,8G ,16,1,22309.0,87976.0,143865.0,175532.0,0.0,0.0,0.0,2864.6,7430.87,8267.39,8450.78,8390.63,8409.45,7151.44,8810.75,9882.84,7330.19,9721.73,6556.78,9187.84,927.85,1032.3,1055.17,1047.71,1049.99,892.88,1100.08,1233.94,915.25,1213.91,818.68,1147.28
55,CN11,8G ,16,2,21889.0,103075.0,156238.0,180145.0,0.0,0.0,0.0,2749.4,8125.79,8960.97,8891.96,9407.11,8827.86,8255.74,9379.43,8860.11,9348.26,9460.68,9997.95,9941.79,1014.58,1118.72,1110.2,1174.44,1102.19,1030.81,1171.08,1106.23,1167.05,1181.23,1248.25,1241.23
56,CN11,8G ,16,4,25821.0,105592.0,155399.0,175532.0,0.0,0.0,0.0,2786.2,9439.79,9499.58,10330.89,9378.29,9529.61,10243.79,9345.93,9825.46,9968.65,9493.24,9609.73,9789.14,1178.63,1186.07,1289.76,1170.87,1189.81,1278.9,1166.86,1226.71,1244.55,1185.2,1199.89,1222.14
57,CN11,8G ,16,8,29491.0,103704.0,157496.0,175532.0,0.0,0.0,0.0,2851.2,9995.56,9994.25,10025.15,9995.49,9932.21,9962.12,10057.38,9932.6,9894.4,10018.3,9894.09,9831.43,1247.82,1247.76,1251.58,1247.86,1240.01,1243.79,1255.65,1240.08,1235.34,1250.8,1235.33,1227.41
58,CN11,8G ,16,12,32427.0,44670.0,82680.0,90021.0,91.0,658.0,110.18,3043.0,10243.36,10222.93,10246.65,10307.58,10279.09,10251.82,10212.96,10227.27,10273.74,10307.25,10329.5,10317.95,1278.61,1276.17,1279.03,1286.65,1283.17,1279.79,1275.05,1276.72,1282.62,1286.79,1289.71,1288.2
59,CN11,8G ,16,24,32270.0,53687.0,81632.0,88238.0,92.0,655.0,109.94,3014.0,10252.67,10249.15,10269.91,10244.12,10227.15,10247.61,10232.94,10222.1,10250.83,10249.04,10243.04,10217.13,1279.8,1279.11,1281.91,1278.73,1276.45,1278.86,1277.17,1275.89,1279.69,1279.31,1278.52,1275.4
60,CN11,16G ,1,1,814.0,981.0,1198.0,28600.0,1193.0,1558.0,1459.73,1532.2,5188.1,3547.24,3549.6,5187.65,5101.72,3570.64,3571.15,5101.56,5101.47,3571.6,3571.46,5102.33,647.86,443.24,443.24,647.89,637.05,445.94,445.94,637.08,637.06,445.99,446.0,637.14
61,CN11,16G ,1,2,835.0,991.0,1208.0,18495.0,1264.0,1539.0,1480.72,1553.4,3610.46,4422.92,5360.35,4485.94,3570.18,5321.77,5320.38,4445.36,3514.62,5210.78,4390.3,3515.18,451.19,552.61,669.65,560.46,446.12,664.66,664.64,555.38,439.18,650.9,548.53,439.23
62,CN11,16G ,1,4,840.0,1019.0,1273.0,11652.0,1231.0,1528.0,1461.75,1533.0,4421.99,4859.29,3984.5,4421.74,4390.18,4390.16,3953.02,4417.46,4688.87,4279.47,4252.33,4306.75,552.45,607.03,497.85,552.47,548.42,548.48,493.87,551.87,585.74,534.63,531.24,538.0
63,CN11,16G ,1,8,854.0,1026.0,1748.0,4820.0,1260.0,1508.0,1459.1,1530.8,4768.42,4548.91,4580.74,4549.8,4445.85,4227.67,4446.18,4664.66,4115.71,4335.76,4364.1,4334.86,595.6,568.28,572.22,568.35,555.36,528.14,555.43,582.71,514.18,541.6,545.04,541.54
64,CN11,16G ,1,12,896.0,1093.0,1748.0,4168.0,1273.0,1507.0,1458.85,1530.2,4482.28,4483.21,4483.0,4483.67,4442.45,4443.77,4443.58,4443.4,4387.0,4387.86,4387.11,4386.95,559.92,559.9,559.91,559.96,554.85,554.92,554.92,554.89,547.91,548.01,548.02,547.96
