,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write
0,CN7,4G,1,1,899.0,1093.0,1407.0,3573.0,1285.0,1452.0,1379.08,1457.4,1463.33,2701.26,1445.89,1586.4,166.9,301.79,163.08,188.14
1,CN7,4G,1,2,931.0,1096.0,1286.0,1886.0,1294.0,1450.0,1376.68,1452.0,1523.8,2138.99,2101.82,1462.38,167.19,231.26,228.57,161.92
2,CN7,4G,1,4,904.0,1082.0,1250.0,1883.0,1295.0,1462.0,1395.08,1468.4,1871.77,1857.17,1834.98,1818.83,206.77,202.37,201.39,202.43
3,CN7,4G,1,8,871.0,1051.0,1709.0,1879.0,1308.0,1459.0,1397.75,1475.2,2035.32,2013.36,1995.96,1966.04,223.84,219.06,217.78,218.13
4,CN7,4G,1,16,878.0,1094.0,1735.0,1876.0,1297.0,1466.0,1399.52,1473.6,1901.54,1883.04,1866.31,1830.13,208.05,204.52,202.73,202.96
5,CN7,4G,2,1,825.0,1030.0,1253.0,1902.0,1268.0,1418.0,1370.72,2842.8,2621.41,2604.16,3947.0,3755.38,303.31,298.91,434.08,435.96
6,CN7,4G,2,2,800.0,972.0,1146.0,1876.0,1286.0,1440.0,1374.71,2875.4,3406.9,3388.14,3385.03,3279.43,372.24,367.85,367.19,366.2
7,CN7,4G,2,4,835.0,1023.0,1381.0,1853.0,1263.0,1396.0,1365.97,2848.4,3386.04,3406.37,3396.34,3273.4,370.49,365.68,365.52,364.67
8,CN7,4G,2,8,827.0,1022.0,1584.0,1902.0,1272.0,1428.0,1386.48,2891.0,3518.08,3574.77,3531.15,3406.97,385.11,382.41,379.9,379.35
9,CN7,4G,2,16,845.0,1029.0,1614.0,1860.0,1251.0,1385.0,1351.88,2829.0,3400.73,3405.45,3397.87,3300.33,371.45,367.71,364.82,365.78
10,CN7,4G,4,1,819.0,1000.0,1195.0,1804.0,1276.0,1466.0,1405.72,5768.6,6512.51,6505.21,6485.29,6301.65,712.15,710.46,707.87,705.18
11,CN7,4G,4,2,972.0,1198.0,1539.0,1922.0,1201.0,1412.0,1311.47,5342.8,6567.87,6591.72,6608.22,6444.34,712.79,710.96,710.98,708.53
12,CN7,4G,4,4,1024.0,1267.0,1653.0,2431.0,1166.0,1336.0,1273.47,5272.8,6533.43,6624.15,6565.26,6503.42,719.46,713.58,711.72,709.59
13,CN7,4G,4,8,1054.0,1358.0,1797.0,3057.0,1201.0,1316.0,1272.83,5224.4,6532.27,6545.64,6602.28,6529.2,716.97,710.93,713.75,710.1
14,CN7,4G,4,16,1083.0,1463.0,1955.0,3346.0,1147.0,1312.0,1248.22,5134.4,6570.7,6522.32,6587.78,6512.71,715.86,712.83,712.7,710.95
15,CN7,4G,8,1,4594.0,6823.0,9791.0,11914.0,545.0,1323.0,680.23,5655.2,8799.44,8769.92,8832.59,8794.06,957.9,957.12,958.4,953.04
16,CN7,4G,8,2,4869.0,7478.0,10473.0,12544.0,540.0,1265.0,680.63,5630.6,8798.24,8829.73,8772.59,8741.68,961.1,955.51,953.23,955.88
17,CN7,4G,8,4,6023.0,9214.0,12386.0,14588.0,518.0,1212.0,652.92,5403.2,8580.0,8670.75,8652.45,8603.21,940.01,937.87,937.38,938.36
18,CN7,4G,8,8,6154.0,9503.0,13015.0,16607.0,511.0,1187.0,645.06,5325.6,8706.71,8660.74,8646.29,8623.67,940.95,936.37,936.33,939.22
19,CN7,4G,8,16,6652.0,10027.0,13959.0,16817.0,490.0,1178.0,614.25,5083.2,8611.16,8472.91,8525.42,8538.93,913.28,907.62,908.25,906.76
20,CN7,4G,16,1,8225.0,10761.0,13618.0,16017.0,248.0,880.0,301.0,5012.0,9404.0,9405.93,9428.57,9378.41,1020.31,1019.73,1017.17,1018.78
21,CN7,4G,16,2,9581.0,12255.0,15454.0,18114.0,244.0,892.0,296.79,4948.2,9424.51,9454.25,9546.85,9543.58,1022.26,1020.43,1019.53,1017.55
22,CN7,4G,16,4,13068.0,16961.0,20893.0,24511.0,246.0,859.0,289.13,4834.4,9432.6,9414.19,9286.16,9353.33,1003.24,1002.93,998.83,999.73
23,CN7,4G,16,8,13592.0,17590.0,21942.0,25507.0,239.0,853.0,281.76,4710.4,9487.29,9520.79,9364.94,9399.24,985.2,986.79,984.25,986.73
24,CN7,4G,16,16,14326.0,18691.0,23252.0,27289.0,226.0,825.0,268.15,4484.0,9250.41,9175.52,9112.64,9095.47,944.83,944.6,942.01,943.17
25,CN7,8G,1,1,828.0,1066.0,1453.0,2105.0,1290.0,1492.0,1413.38,1483.4,2055.87,1787.53,1917.04,3706.26,227.27,200.53,223.89,430.56
26,CN7,8G,1,2,810.0,1006.0,1152.0,1853.0,1282.0,1484.0,1419.87,1490.4,3085.97,2111.53,2071.52,3006.35,330.21,224.19,223.74,327.2
27,CN7,8G,1,4,804.0,1026.0,1172.0,1843.0,1259.0,1507.0,1426.13,1497.0,2599.93,2581.18,2500.97,2521.95,279.75,276.37,275.3,275.3
28,CN7,8G,1,8,822.0,1047.0,1289.0,1853.0,1300.0,1499.0,1429.45,1499.0,2586.39,2561.25,2519.12,2499.47,278.17,274.0,273.62,273.69
29,CN7,8G,1,16,791.0,1006.0,1581.0,1866.0,1293.0,1484.0,1426.87,1497.4,2577.82,2577.75,2537.26,2511.83,277.82,274.38,273.82,273.79
30,CN7,8G,2,1,801.0,969.0,1267.0,2069.0,1257.0,1430.0,1371.85,2872.2,5161.01,5295.07,3534.62,3620.31,591.33,588.94,405.78,404.26
31,CN7,8G,2,2,804.0,917.0,1145.0,1742.0,1279.0,1430.0,1370.45,2844.0,4515.14,4515.81,4427.56,4448.02,486.94,483.35,483.16,483.24
32,CN7,8G,2,4,827.0,963.0,1214.0,1837.0,1248.0,1395.0,1356.66,2839.8,4413.04,4368.21,4319.32,4324.55,474.52,469.65,469.73,470.49
33,CN7,8G,2,8,825.0,969.0,1430.0,1811.0,1248.0,1398.0,1362.18,2851.6,4400.1,4377.38,4295.38,4338.4,474.2,471.43,471.17,471.01
34,CN7,8G,2,16,827.0,971.0,1525.0,1840.0,1258.0,1398.0,1356.56,2842.0,4523.91,4485.22,4448.88,4452.79,486.86,483.18,483.3,482.99
35,CN7,8G,4,1,832.0,1255.0,2681.0,4381.0,1215.0,1484.0,1385.73,5724.2,9034.88,9007.53,8943.19,9000.48,983.35,978.12,978.69,978.74
36,CN7,8G,4,2,976.0,1270.0,2785.0,3965.0,1163.0,1428.0,1313.36,5383.4,8672.53,8614.2,8558.83,8597.53,936.24,933.04,933.36,932.95
37,CN7,8G,4,4,1028.0,1286.0,1989.0,3256.0,1165.0,1332.0,1263.65,5205.8,8658.23,8715.96,8570.6,8605.61,935.97,933.89,932.79,935.17
38,CN7,8G,4,8,1059.0,1417.0,3270.0,5912.0,1118.0,1341.0,1260.52,5191.4,8728.85,8706.49,8592.77,8614.48,940.43,938.37,935.29,937.03
39,CN7,8G,4,16,1096.0,1466.0,2618.0,3847.0,1130.0,1324.0,1244.13,5082.0,8556.43,8519.04,8461.3,8578.58,923.0,918.24,915.58,919.37
40,CN7,8G,8,1,4817.0,7124.0,10185.0,12622.0,530.0,1356.0,620.17,5171.8,9853.97,9789.43,9852.3,9802.54,1055.3,1053.87,1054.86,1054.19
41,CN7,8G,8,2,5250.0,7884.0,10761.0,13277.0,503.0,1260.0,611.55,5091.2,9718.89,9660.58,9704.34,9626.68,1043.37,1039.97,1040.79,1043.22
42,CN7,8G,8,4,6324.0,9529.0,12622.0,16423.0,504.0,1215.0,599.03,4986.0,9736.32,9702.62,9682.78,9583.79,1040.87,1037.46,1039.75,1037.34
43,CN7,8G,8,8,6783.0,10106.0,13645.0,17026.0,490.0,1192.0,577.88,4817.8,9332.24,9316.57,9287.73,9342.68,992.1,989.6,990.23,993.0
44,CN7,8G,8,16,7281.0,10630.0,14064.0,17459.0,476.0,1161.0,559.6,4666.6,9314.79,9304.27,9379.57,9347.13,973.92,973.97,973.64,977.21
45,CN7,8G,16,1,8238.0,10787.0,13566.0,15755.0,243.0,901.0,290.78,4848.2,10092.06,10229.49,10133.81,10210.43,1080.46,1082.82,1080.53,1081.62
46,CN7,8G,16,2,9975.0,12622.0,15821.0,18324.0,242.0,870.0,282.17,4715.6,9901.45,9951.05,9932.68,9922.69,1051.06,1051.84,1050.21,1051.64
47,CN7,8G,16,4,13540.0,17341.0,21313.0,24825.0,239.0,867.0,272.88,4570.8,9695.55,9738.7,9742.6,9683.79,1023.25,1023.04,1023.33,1023.52
48,CN7,8G,16,8,13880.0,17800.0,21941.0,25559.0,235.0,876.0,270.1,4522.8,9807.35,9858.53,9828.86,9688.17,1025.57,1026.08,1025.24,1025.98
49,CN7,8G,16,16,14877.0,19215.0,23672.0,27184.0,225.0,848.0,258.94,4334.6,9528.13,9534.41,9867.9,9442.65,988.23,986.92,986.7,984.83
50,CN7,16G,1,1,762.0,1002.0,1683.0,2690.0,1286.0,1499.0,1430.44,1501.0,2128.79,2084.1,2114.27,4108.44,248.16,245.79,245.89,481.93
51,CN7,16G,1,2,750.0,961.0,1136.0,1752.0,1282.0,1504.0,1440.68,1511.4,2334.16,2328.43,3413.47,3388.43,249.22,247.13,364.92,365.23
52,CN7,16G,1,4,753.0,931.0,1139.0,1804.0,1279.0,1492.0,1435.34,1505.4,2823.0,2843.47,2818.14,2793.18,305.8,303.99,303.95,303.49
53,CN7,16G,1,8,728.0,917.0,1145.0,1794.0,1316.0,1509.0,1460.25,1532.0,2880.57,2868.18,2865.9,2820.48,309.83,307.25,307.87,306.46
54,CN7,16G,1,16,732.0,908.0,1303.0,1843.0,1304.0,1490.0,1447.84,1518.6,2862.36,2816.46,2831.03,2784.95,306.25,303.45,303.01,302.32
55,CN7,16G,2,1,796.0,933.0,1476.0,2119.0,1281.0,1439.0,1377.45,2873.0,5937.98,3949.19,3993.99,5813.44,672.4,464.33,465.1,669.76
