,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN9,16G,1,1,748.0,979.0,1719.0,2808.0,1275.0,1530.0,1455.08,1526.8
1,CN9,16G,1,2,756.0,935.0,1106.0,2032.0,1289.0,1545.0,1460.2,1532.2
2,CN9,16G,1,4,756.0,961.0,1126.0,3020.0,1173.0,1530.0,1457.16,1529.2
3,CN9,16G,1,8,746.0,923.0,1122.0,5387.0,1315.0,1540.0,1462.5,1534.6
4,CN9,16G,1,12,748.0,938.0,1145.0,1830.0,1253.0,1559.0,1466.06,1538.4
5,CN9,16G,1,24,750.0,940.0,1142.0,1830.0,1331.0,1546.0,1464.67,1536.2
6,CN9,16G,2,1,797.0,904.0,1884.0,3392.0,1275.0,1508.0,1399.64,2928.2
7,CN9,16G,2,2,787.0,872.0,1198.0,2059.0,1154.0,1500.0,1408.06,2936.8
8,CN9,16G,2,4,784.0,853.0,1054.0,2259.0,1265.0,1500.0,1413.57,2953.2
9,CN9,16G,2,8,807.0,897.0,1116.0,1845.0,1256.0,1497.0,1393.96,2920.6
10,CN9,16G,2,12,813.0,912.0,1125.0,1748.0,1277.0,1479.0,1388.47,2908.2
11,CN9,16G,2,24,820.0,917.0,1119.0,2268.0,1283.0,1444.0,1377.27,2884.6
12,CN9,16G,4,1,2848.0,4895.0,14379.0,42415.0,648.0,1487.0,908.02,3752.8
13,CN9,16G,4,2,3352.0,8356.0,15729.0,37932.0,466.0,1493.0,896.93,3168.8
14,CN9,16G,4,4,3414.0,9791.0,18901.0,31929.0,492.0,1445.0,862.98,3340.6
15,CN9,16G,4,8,2598.0,11128.0,20002.0,26817.0,628.0,1438.0,873.28,3598.2
16,CN9,16G,4,12,2689.0,11548.0,19949.0,26975.0,622.0,1440.0,861.01,3565.6
17,CN9,16G,4,24,3064.0,11495.0,20002.0,26188.0,600.0,1426.0,847.77,3525.4
18,CN9,16G,8,1,9470.0,16057.0,24353.0,39715.0,291.0,1502.0,445.77,3544.2
19,CN9,16G,8,2,9405.0,16351.0,26739.0,45875.0,159.0,1486.0,452.56,3224.75
20,CN9,16G,8,4,11154.0,18429.0,27604.0,38011.0,165.0,1382.0,437.49,3227.8
21,CN9,16G,8,8,13697.0,22780.0,32139.0,39374.0,294.0,1418.0,393.62,3281.8
22,CN9,16G,8,12,13592.0,22833.0,32637.0,40527.0,292.0,1431.0,396.15,3305.8
23,CN9,16G,8,24,13750.0,22885.0,33817.0,42730.0,294.0,1412.0,396.51,3311.6
24,CN9,32G,1,1,715.0,899.0,1805.0,6770.0,1296.0,1509.0,1460.22,1531.6
25,CN9,32G,1,2,751.0,886.0,1093.0,1581.0,1293.0,1522.0,1442.36,1513.0
26,CN9,32G,1,4,748.0,874.0,1080.0,1778.0,1311.0,1517.0,1449.15,1519.8
27,CN9,32G,1,8,737.0,892.0,1112.0,2042.0,1288.0,1561.0,1472.89,1544.8
28,CN9,32G,1,12,732.0,874.0,1099.0,1732.0,1303.0,1537.0,1474.4,1546.0
29,CN9,32G,1,24,732.0,850.0,1096.0,1791.0,1273.0,1544.0,1478.3,1550.4
30,CN9,32G,2,1,818.0,897.0,1627.0,3532.0,1232.0,1526.0,1383.45,2887.8
31,CN9,32G,2,2,837.0,907.0,1122.0,1987.0,1115.0,1502.0,1388.68,2890.0
32,CN9,32G,2,4,918.0,1198.0,1417.0,2004.0,843.0,1481.0,1343.28,2797.2
33,CN9,32G,2,8,1017.0,1791.0,2058.0,2358.0,653.0,1493.0,1322.52,2747.4
34,CN9,32G,2,12,997.0,1696.0,1991.0,2142.0,653.0,1495.0,1321.78,2738.4
35,CN9,32G,2,24,973.0,1712.0,2009.0,2191.0,665.0,1496.0,1333.68,2783.0
36,CN9,32G,4,1,3187.0,6079.0,17023.0,44303.0,474.0,1504.0,841.46,3182.75
37,CN9,32G,4,2,4526.0,7070.0,19202.0,90505.0,257.0,1461.0,742.15,2777.0
38,CN9,32G,4,4,4224.0,10257.0,24642.0,50358.0,437.0,1377.0,768.83,3015.4
39,CN9,32G,4,8,3791.0,11888.0,20106.0,26922.0,607.0,1433.0,800.51,3333.4
40,CN9,32G,4,12,3736.0,11626.0,19530.0,26975.0,597.0,1437.0,804.61,3355.8
41,CN9,32G,4,24,3492.0,11495.0,20212.0,28338.0,636.0,1426.0,815.92,3394.6
42,CN9,32G,8,1,8962.0,14844.0,26739.0,87884.0,239.0,1499.0,424.89,3262.5
43,CN9,32G,8,2,6325.0,12125.0,41157.0,170918.0,104.0,1438.0,458.82,3490.0
44,CN9,32G,8,4,12780.0,23987.0,79168.0,265290.0,120.0,713.0,300.32,2514.0
45,CN9,32G,8,8,13750.0,22780.0,32716.0,43044.0,286.0,1317.0,389.58,3262.4
46,CN9,32G,8,12,13828.0,22938.0,33240.0,42834.0,288.0,1422.0,385.0,3217.8
47,CN9,32G,8,24,13723.0,22518.0,32428.0,41261.0,292.0,1428.0,387.07,3237.4
48,CN9,64G,1,1,1260.0,1605.0,3262.0,14769.0,1018.0,1550.0,1322.86,1387.2
49,CN9,64G,1,2,893.0,1004.0,1430.0,2042.0,1101.0,1541.0,1423.1,1492.4
50,CN9,64G,1,4,928.0,1411.0,1555.0,1783.0,757.0,1556.0,1411.18,1480.0
51,CN9,64G,1,8,890.0,1247.0,1620.0,1948.0,748.0,1554.0,1416.5,1485.6
52,CN9,64G,1,12,850.0,1106.0,1257.0,1719.0,886.0,1550.0,1434.96,1504.4
53,CN9,64G,1,24,848.0,1190.0,1332.0,1763.0,844.0,1562.0,1434.72,1504.0
54,CN9,64G,2,1,1381.0,2492.0,6518.0,35275.0,769.0,1494.0,1182.4,2264.67
55,CN9,64G,2,2,2638.0,4881.0,11557.0,125108.0,656.0,1445.0,1005.18,2094.2
56,CN9,64G,2,4,1224.0,1512.0,3783.0,6101.0,701.0,1456.0,1231.12,2559.0
57,CN9,64G,2,8,1273.0,1722.0,2017.0,2192.0,658.0,1492.0,1269.55,2635.0
58,CN9,64G,2,12,1335.0,1833.0,2081.0,2258.0,635.0,1481.0,1254.81,2604.8
59,CN9,64G,2,24,1355.0,1798.0,2015.0,2178.0,662.0,1519.0,1271.74,2641.4
60,CN9,64G,4,1,2966.0,5046.0,17007.0,39846.0,644.0,1495.0,862.12,3593.5
61,CN9,64G,4,2,5866.0,11294.0,29142.0,100664.0,229.0,1452.0,613.86,2268.0
62,CN9,64G,4,4,5915.0,11502.0,30245.0,145949.0,267.0,1362.0,630.51,2542.75
63,CN9,64G,4,8,4178.0,11783.0,20054.0,28233.0,577.0,1432.0,779.78,3252.2
64,CN9,64G,4,12,4217.0,11993.0,20369.0,28233.0,588.0,1420.0,772.15,3217.8
65,CN9,64G,4,24,4027.0,11862.0,20054.0,27447.0,593.0,1422.0,784.16,3260.4
66,CN9,128G,1,1,801.0,941.0,1816.0,3520.0,1115.0,1515.0,1402.07,1470.0
67,CN9,128G,1,2,830.0,1157.0,1437.0,2566.0,882.0,1538.0,1398.08,1465.8
68,CN9,128G,1,4,948.0,1258.0,1568.0,1775.0,733.0,1544.0,1387.94,1455.8
69,CN9,128G,1,8,931.0,1263.0,1781.0,1992.0,612.0,1526.0,1382.42,1449.8
70,CN9,128G,1,12,949.0,1228.0,1650.0,1894.0,691.0,1550.0,1379.61,1446.6
71,CN9,128G,1,24,932.0,1136.0,1529.0,1781.0,705.0,1552.0,1390.15,1457.6
72,CN9,128G,2,1,1814.0,3071.0,25942.0,169128.0,524.0,1441.0,995.77,2046.25
73,CN9,128G,2,2,1363.0,2552.0,15718.0,70604.0,758.0,1441.0,1133.34,2364.0
74,CN9,128G,2,4,1473.0,1907.0,7642.0,26653.0,533.0,1406.0,1093.36,2283.8
75,CN9,128G,2,8,1381.0,1784.0,2046.0,2212.0,638.0,1538.0,1230.7,2574.2
76,CN9,128G,2,12,1411.0,1827.0,2086.0,2251.0,613.0,1500.0,1223.13,2540.4
77,CN9,128G,2,24,1398.0,1804.0,2061.0,2238.0,641.0,1521.0,1218.78,2542.2
