,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput
0,CN10,16G,1,1,751.0,959.0,1742.0,3183.0,1256.0,1526.0,1457.88,1528.6
1,CN10,16G,1,2,755.0,913.0,1103.0,2379.0,1260.0,1537.0,1462.78,1534.2
2,CN10,16G,1,4,753.0,910.0,1103.0,4635.0,1220.0,1548.0,1461.85,1533.8
3,CN10,16G,1,8,754.0,915.0,1106.0,1863.0,1329.0,1566.0,1462.3,1534.4
4,CN10,16G,1,12,748.0,914.0,1096.0,1820.0,1336.0,1576.0,1465.73,1537.8
5,CN10,16G,1,24,751.0,918.0,1116.0,1833.0,1299.0,1563.0,1461.31,1534.0
6,CN10,16G,2,1,797.0,892.0,1819.0,3755.0,1259.0,1517.0,1397.14,2916.6
7,CN10,16G,2,2,771.0,860.0,1417.0,2548.0,1277.0,1514.0,1431.3,2987.6
8,CN10,16G,2,4,782.0,849.0,1058.0,1663.0,1325.0,1498.0,1411.22,2924.2
9,CN10,16G,2,8,800.0,897.0,1076.0,1788.0,1292.0,1499.0,1400.43,2933.8
10,CN10,16G,2,12,799.0,894.0,1081.0,1728.0,1298.0,1488.0,1405.57,2945.6
11,CN10,16G,2,24,802.0,899.0,1089.0,1768.0,1277.0,1477.0,1399.38,2931.6
12,CN10,16G,4,1,2841.0,4830.0,12255.0,52272.0,655.0,1488.0,912.07,3770.0
13,CN10,16G,4,2,3188.0,7937.0,13199.0,26634.0,462.0,1520.0,917.24,3257.6
14,CN10,16G,4,4,3254.0,8873.0,14850.0,23619.0,518.0,1485.0,899.52,3477.6
15,CN10,16G,4,8,2218.0,9896.0,16528.0,22361.0,674.0,1443.0,910.51,3752.8
16,CN10,16G,4,12,2685.0,10683.0,17682.0,23095.0,671.0,1444.0,888.49,3693.8
17,CN10,16G,4,24,2898.0,10447.0,17276.0,22204.0,656.0,1435.0,883.38,3673.0
18,CN10,16G,8,1,9339.0,15152.0,21260.0,31510.0,309.0,1512.0,448.93,3559.0
19,CN10,16G,8,2,8874.0,15218.0,22047.0,31851.0,175.0,1490.0,466.4,3284.2
20,CN10,16G,8,4,10735.0,16817.0,23829.0,33424.0,170.0,1402.0,450.93,3310.4
21,CN10,16G,8,8,13199.0,20893.0,28600.0,35311.0,300.0,1427.0,407.17,3402.0
22,CN10,16G,8,12,13356.0,21103.0,29229.0,36333.0,314.0,1444.0,410.14,3425.6
