0612-1751
CN7,4G,1,1,1,906,1057,1418,7308,1475
CN7,4G,1,1,2,988,1123,1418,2737,1418
CN7,4G,1,1,3,971,1123,1336,2835,1435
CN7,4G,1,1,4,971,1123,1336,2966,1433
CN7,4G,1,1,5,873,1090,1516,1893,1467
CN7,4G,1,2,1,881,1074,1188,1893,1479
CN7,4G,1,2,2,922,1106,1287,1827,1413
CN7,4G,1,2,3,840,1074,1172,1876,1476
CN7,4G,1,2,4,824,1029,1156,1762,1477
CN7,4G,1,2,5,881,1090,1205,1926,1463
CN7,4G,1,4,1,881,1106,1598,1827,1473
CN7,4G,1,4,2,881,1106,1795,10159,1433
CN7,4G,1,4,3,963,1123,1713,4948,1419
CN7,4G,1,4,4,938,1139,1811,3392,1433
CN7,4G,1,4,5,1045,1188,1844,1909,1364
CN7,4G,1,8,1,906,1123,1778,3163,1428
CN7,4G,1,8,2,791,1037,1565,1876,1476
CN7,4G,1,8,3,873,1074,1729,4424,1441
CN7,4G,1,8,4,857,1057,1745,3982,1475
CN7,4G,1,8,5,906,1123,1811,3261,1426
CN7,4G,1,16,1,832,1057,1696,1762,1482
CN7,4G,1,16,2,840,1057,1303,1844,1485
CN7,4G,1,16,3,881,1090,1287,1795,1459
CN7,4G,1,16,4,906,1139,1352,1844,1454
CN7,4G,1,16,5,832,1074,1909,3490,1479
CN7,4G,2,1,1,824,1004,1172,5800,2822
CN7,4G,2,1,2,881,1057,1270,1893,2668
CN7,4G,2,1,3,840,1012,1188,1975,2804
CN7,4G,2,1,4,848,1004,1139,1893,2762
CN7,4G,2,1,5,832,1037,1221,1991,2843
CN7,4G,2,2,1,906,1057,1401,1909,2685
CN7,4G,2,2,2,889,1037,1254,1909,2712
CN7,4G,2,2,3,865,1037,1270,1991,2756
CN7,4G,2,2,4,865,1037,1336,1876,2837
CN7,4G,2,2,5,889,1074,1254,1811,2738
CN7,4G,2,4,1,898,1057,1401,1958,2705
CN7,4G,2,4,2,898,1074,1614,1926,2692
CN7,4G,2,4,3,898,1074,1450,1893,2691
CN7,4G,2,4,4,889,1045,1418,1795,2747
CN7,4G,2,4,5,930,1090,1500,1876,2619
CN7,4G,2,8,1,865,1020,1500,1876,2711
CN7,4G,2,8,2,873,1029,1352,1713,2766
CN7,4G,2,8,3,865,1037,1467,1893,2782
CN7,4G,2,8,4,840,1029,1270,1991,2792
CN7,4G,2,8,5,898,1045,1418,1958,2717
CN7,4G,2,16,1,873,1037,1319,1860,2777
CN7,4G,2,16,2,881,1037,1270,2008,2751
CN7,4G,2,16,3,865,1012,1254,1909,2710
CN7,4G,2,16,4,857,1045,1467,1909,2855
CN7,4G,2,16,5,889,1045,1336,1762,2758
CN7,4G,4,1,1,816,1012,1221,1860,5855
CN7,4G,4,1,2,816,1004,1188,1827,5838
CN7,4G,4,1,3,816,996,1188,1844,5748
CN7,4G,4,1,4,816,1020,1237,1778,5906
CN7,4G,4,1,5,824,1012,1319,2769,5609
CN7,4G,4,2,1,971,1139,2376,3752,5320
CN7,4G,4,2,2,971,1926,5735,9241,5249
CN7,4G,4,2,3,971,1156,2180,3654,5231
CN7,4G,4,2,4,988,2008,6587,18220,4980
CN7,4G,4,2,5,963,1156,2507,3556,5192
CN7,4G,4,4,1,1020,1254,1631,4015,5255
CN7,4G,4,4,2,1020,1237,1663,2540,5259
CN7,4G,4,4,3,1004,1205,1663,3195,5041
CN7,4G,4,4,4,996,1205,1647,2868,5322
CN7,4G,4,4,5,988,1221,1680,2540,5372
CN7,4G,4,8,1,979,1156,1565,2040,5154
CN7,4G,4,8,2,988,1188,1598,3720,5074
CN7,4G,4,8,3,988,1172,1565,2507,5172
CN7,4G,4,8,4,988,1205,1647,2311,5411
CN7,4G,4,8,5,1004,1221,1614,2900,5354
CN7,4G,4,16,1,971,1172,1565,2376,5175
CN7,4G,4,16,2,1045,1270,1647,3064,5096
CN7,4G,4,16,3,1020,1221,1614,1926,5080
CN7,4G,4,16,4,996,1237,1663,2442,5362
CN7,4G,4,16,5,1004,1237,1614,2212,5262
CN7,4G,8,1,1,4817,7111,10290,11863,5418
CN7,4G,8,1,2,4621,6980,10159,11469,5522
CN7,4G,8,1,3,4752,7308,9896,11207,5475
CN7,4G,8,1,4,4490,6652,9503,10814,5779
CN7,4G,8,1,5,4555,6915,9634,11207,5590
CN7,4G,8,2,1,4817,7242,10028,11994,5886
CN7,4G,8,2,2,4686,6849,9503,11731,5793
CN7,4G,8,2,3,5014,7570,10683,12780,5556
CN7,4G,8,2,4,5014,7635,10421,12911,5567
CN7,4G,8,2,5,4883,7701,10945,12911,5529
CN7,4G,8,4,1,6194,9241,12387,15270,5307
CN7,4G,8,4,2,6325,9503,12911,15401,5272
CN7,4G,8,4,3,5473,8225,11600,13304,5683
CN7,4G,8,4,4,5866,9110,12649,14615,5393
CN7,4G,8,4,5,6390,10028,13960,15795,5171
CN7,4G,8,8,1,6128,9503,13173,15533,5255
CN7,4G,8,8,2,5735,8848,11731,13173,5461
CN7,4G,8,8,3,5800,9241,12649,14746,5407
CN7,4G,8,8,4,5997,9241,12256,16581,5319
CN7,4G,8,8,5,6325,9372,12125,15664,5243
CN7,4G,8,16,1,5932,8717,12518,14091,5547
CN7,4G,8,16,2,5407,8291,11994,16909,5496
CN7,4G,8,16,3,5800,8848,12780,14746,5449
CN7,4G,8,16,4,5997,9372,12518,15926,5450
CN7,4G,8,16,5,5932,9241,13960,17957,5243
CN7,4G,16,1,1,8356,10945,14353,17695,4909
CN7,4G,16,1,2,8455,11076,14091,16450,4917
CN7,4G,16,1,3,7635,10028,12518,15664,5259
CN7,4G,16,1,4,7898,10290,12911,15664,5147
CN7,4G,16,1,5,8160,10683,13042,16188,4999
CN7,4G,16,2,1,9634,12518,15795,17433,4884
CN7,4G,16,2,2,8848,11338,14222,15533,5167
CN7,4G,16,2,3,9634,11994,14746,16581,4930
CN7,4G,16,2,4,9241,11600,14353,15533,5145
CN7,4G,16,2,5,9896,12518,15926,19530,4935
CN7,4G,16,4,1,13566,17433,21365,23725,4776
CN7,4G,16,4,2,12780,16319,20055,23725,4842
CN7,4G,16,4,3,13566,17433,20579,25035,4870
CN7,4G,16,4,4,13304,16909,20579,24249,4902
CN7,4G,16,4,5,13042,16909,21103,23462,4801
CN7,4G,16,8,1,14091,17695,21365,23462,4862
CN7,4G,16,8,2,13304,17433,21103,23462,4763
CN7,4G,16,8,3,13173,17171,21627,24511,4782
CN7,4G,16,8,4,13173,16909,21103,24249,4823
CN7,4G,16,8,5,13304,16909,20579,23200,4801
CN7,4G,16,16,1,13566,17695,21365,23987,4760
CN7,4G,16,16,2,13829,17695,21103,23462,4847
CN7,4G,16,16,3,12649,16188,19792,23462,4782
CN7,4G,16,16,4,13304,17433,21103,23462,4770
CN7,4G,16,16,5,13566,17433,20579,23200,4797
CN7,8G,1,1,1,807,1037,1205,1844,1500
CN7,8G,1,1,2,807,1057,1205,1909,1473
CN7,8G,1,1,3,824,1090,1287,1991,1473
CN7,8G,1,1,4,807,1057,1287,1893,1461
CN7,8G,1,1,5,824,1057,1188,1778,1470
CN7,8G,1,2,1,799,1020,1205,1926,1431
