,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
49,CN8,32G,2,24,1068.0,1850.0,2245.0,2389.0,624.0,1388.0,1234.79,2559.6,6672.38,6592.0,6651.21,6704.13,7400.09,7578.89,7325.51,7408.52,7491.17,7528.25,7601.78,7516.9,707.27,699.18,707.82,717.14,684.39,701.7,684.22,684.79,695.51,696.15,702.77,703.58
50,CN8,32G,2,48,1073.0,1761.0,2073.0,2348.0,641.0,1404.0,1224.51,2548.8,6917.76,6793.85,6858.39,6694.14,7931.22,7905.34,7888.62,7950.28,7866.32,8047.36,7967.9,7797.18,711.05,711.73,711.94,701.59,705.93,701.58,700.74,701.67,698.27,704.21,701.82,697.98
51,CN8,32G,4,12,1299.0,1742.0,3221.0,6960.0,778.0,1382.0,1161.6,4781.8,10661.2,10677.16,10665.91,10673.03,10731.0,10727.6,10871.33,10740.38,10686.84,10724.98,10752.23,10702.11,1310.56,1310.82,1310.84,1310.47,1303.22,1303.38,1320.37,1303.47,1281.36,1297.22,1297.47,1296.69
52,CN8,32G,4,24,1365.0,1843.0,3516.0,10053.0,764.0,1359.0,1139.89,4727.0,10415.66,10685.68,10566.04,10542.31,10706.01,10672.26,10752.05,10675.37,10845.15,10795.74,10837.65,10774.35,1279.93,1311.92,1296.11,1295.42,1288.97,1289.07,1289.6,1288.66,1283.84,1283.66,1283.87,1283.07
53,CN8,32G,4,48,1355.0,1847.0,3680.0,8913.0,730.0,1375.0,1146.48,4748.2,10603.78,10542.76,10582.03,10581.11,10748.47,10796.14,10747.22,10835.25,10619.52,10519.62,10579.81,10434.93,1302.8,1295.14,1299.03,1299.9,1289.47,1293.36,1288.88,1290.35,1275.35,1267.16,1274.7,1262.69
54,CN8,32G,8,12,4620.0,14195.0,117283.0,626315.0,55.0,289.0,122.38,4623.8,10907.46,10976.31,10993.99,10773.56,11211.46,11210.79,11282.07,11233.12,11308.32,11206.26,11226.56,10941.35,1340.27,1349.03,1349.0,1324.24,1347.25,1332.23,1340.73,1346.97,1332.88,1332.14,1339.68,1315.45
55,CN8,32G,8,24,4752.0,14903.0,145700.0,523449.0,100.0,533.0,228.21,4606.0,11017.94,11115.46,11020.56,11084.03,11498.43,11402.52,11433.9,11382.64,11414.31,11382.21,11411.59,11083.58,1353.15,1365.45,1353.64,1361.6,1376.03,1359.56,1356.21,1351.75,1360.56,1364.15,1360.83,1331.13
56,CN8,32G,8,48,3421.0,14340.0,153145.0,642463.0,45.0,272.0,116.51,4706.8,11134.14,11180.86,11160.8,11148.89,11380.02,11499.61,11459.97,11471.17,11454.26,11422.24,11455.27,11364.84,1362.34,1370.16,1366.38,1366.14,1346.57,1354.07,1353.35,1349.88,1349.29,1347.98,1350.81,1351.68
57,CN8,32G,16,12,17787.0,36412.0,347918.0,716387.0,0.0,0.0,0.0,4596.8,11145.86,11274.17,11277.08,11340.45,11557.37,11734.07,11611.21,11759.51,11700.55,11476.35,11636.39,11482.25,1363.8,1380.76,1381.0,1388.85,1370.69,1391.96,1381.03,1392.17,1389.7,1364.4,1381.47,1376.22
58,CN8,32G,16,24,19779.0,38352.0,176161.0,522191.0,45.0,493.0,116.1,4596.0,11474.37,11421.38,11490.2,11419.37,11743.63,11869.0,11806.84,11824.41,11846.9,11908.21,11788.19,11794.14,1402.75,1396.15,1404.9,1395.88,1388.41,1395.76,1393.26,1395.24,1391.53,1398.43,1385.41,1401.27
59,CN8,32G,16,48,15755.0,34498.0,439983.0,930297.0,0.0,0.0,0.0,4607.6,11595.23,11596.27,11627.32,11606.38,12369.86,12364.35,12297.64,12348.11,12315.13,12320.57,12391.08,12156.59,1409.58,1409.61,1413.83,1410.71,1421.21,1417.4,1411.28,1416.39,1407.05,1405.32,1412.48,1403.82
